,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,offensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive,defensive
,all up,break,first half,indy,inside,kickoff,kor,otb,pap,pat/fg,post-practice,pre,punt,punt return,run session,run session-blitz,scrimmage,second half,skell vs. def scouts,team situation,team vs. def scouts,1on1,1on2,pass rush,team vs. scouts,all up,break,end,first half,goal line,indy,inside,line games,mix session,otb,pass rush,pat/fg,perimeter period,post-practice,pre,punt,punt return,run fit,run pursuit,run session,scrimmage,second half,specific def scheme,team situation,team vs. off scouts,1on1,kickoff,kor,red zone skell vs. scouts,skell vs. off scouts
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bye #1,2.0,,,8.0,,,,12.0,,5.0,,10.0,,,,,,,12.0,,28.0,,,12.0,,2.0,,,,,20.0,,,,,12.0,5.0,,,10.0,,,,,,,,,,28.0,,,,,12.0
Conneticut #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Conneticut #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,15.0,,12.0,5.0,,,20.0,,,,,8.0,,,,8.0,20.0,,8.0,,,24.0
Conneticut #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
Conneticut Game,,10.0,85.0,,,,,,,,,60.0,,,,,,100.0,,,,,,,,,10.0,,85.0,,,,,,,,,,,60.0,,,,,,,100.0,,,,,,,,
Houston #1,2.0,5.0,,20.0,,,,12.0,,5.0,8.0,10.0,8.0,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,8.0,20.0,8.0,,,,15.0,,,,8.0,20.0,,,,,24.0
Houston #2,2.0,5.0,,20.0,,8.0,,12.0,8.0,5.0,8.0,10.0,,,,15.0,,,24.0,8.0,20.0,,,12.0,,2.0,5.0,,,,32.0,,,,,12.0,5.0,,,20.0,,,,,15.0,,,8.0,8.0,20.0,,8.0,,,24.0
Houston #3,2.0,,,40.0,,10.0,10.0,,,5.0,,10.0,10.0,10.0,,,,,,,55.0,,,,,2.0,,2.0,,,52.0,,,,,,5.0,,,20.0,10.0,10.0,,,,,,,,43.0,,10.0,10.0,6.0,6.0
