,activity,before_break,date,event,h2,h3,h4,h5,player,type
4457,pre,True,2017-07-31 19:05:00,fall camp practice #1,0.0,0.0,0.0,0.0,linebacker,camp
4456,pre,True,2017-07-31 19:05:00,fall camp practice #1,0.0,0.1111111111111111,0.0,0.0,off guard,camp
4454,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,tight end,camp
4452,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,wide receiver,camp
4455,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.1111111111111111,0.0,0.0,0.0,off guard,camp
4453,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,off tackle,camp
4451,indy,True,2017-07-31 19:20:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4450,otb,True,2017-07-31 19:25:00,fall camp practice #1,0.0,0.0,0.0,0.0,wide receiver,camp
4449,indy,True,2017-07-31 19:30:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4448,indy,True,2017-07-31 19:40:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4447,team w/ 3s,False,2017-07-31 20:10:00,fall camp practice #1,0.0,0.1111111111111111,0.0,0.0,wide receiver,camp
4446,post-practice/punt team,False,2017-07-31 20:45:00,fall camp practice #1,0.0,0.0,0.0,0.0,wide receiver,camp
4445,post,False,2017-07-31 20:50:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4444,indy,True,2017-08-01 14:55:00,fall camp practice #2,0.1,0.0,0.0,0.0,linebacker,camp
4443,halfzone,True,2017-08-01 15:00:00,fall camp practice #2,0.0,0.16666666666666666,0.0,0.0,linebacker,camp
4442,indy,True,2017-08-01 15:15:00,fall camp practice #2,0.0,0.0,0.0,0.0,def end,camp
4441,skell vs. offense,False,2017-08-01 15:30:00,fall camp practice #2,0.16666666666666666,0.0,0.0,0.0,linebacker,camp
4440,team w/ 3s,False,2017-08-01 15:40:00,fall camp practice #2,0.0,0.0,0.0,0.0,off tackle,camp
4439,team vs. def,False,2017-08-01 15:45:00,fall camp practice #2,0.0,0.0,0.0,0.0,wide receiver,camp
4438,team vs. def,False,2017-08-01 15:50:00,fall camp practice #2,0.0,0.0,0.0,0.0,off guard,camp
4435,team vs. def,False,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,off guard,camp
4434,team vs. def,False,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,tight end,camp
4437,team vs. offense,False,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,def tackle,camp
4436,team vs. offense,False,2017-08-01 16:00:00,fall camp practice #2,0.0,0.1,0.0,0.0,def end,camp
4433,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,def tackle,camp
4432,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.1,0.0,0.0,0.0,linebacker,camp
4431,team vs. def,False,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,tight end,camp
4430,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,def end,camp
4429,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,def tackle,camp
4428,team vs. def,False,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,off guard,camp
4423,post-practice,False,2017-08-01 16:10:00,fall camp practice #2,0.0,0.0,0.0,0.0,off guard,camp
4424,post-practice/punt team,False,2017-08-01 16:10:00,fall camp practice #2,0.0,0.16666666666666666,0.0,0.0,tight end,camp
4426,post-practice/punt team,False,2017-08-01 16:10:00,fall camp practice #2,0.0,0.0,0.0,0.0,linebacker,camp
4427,post-practice/punt team,False,2017-08-01 16:10:00,fall camp practice #2,0.0,0.0,0.0,0.0,def end,camp
4425,post-practice,False,2017-08-01 16:10:00,fall camp practice #2,0.0,0.0,0.0,0.0,off tackle,camp
4422,post-practice,False,2017-08-01 16:15:00,fall camp practice #2,0.0,0.0,0.0,0.0,off guard,camp
4421,post-practice/punt team,False,2017-08-01 16:15:00,fall camp practice #2,0.0,0.0,0.0,0.0,def tackle,camp
4420,pre,True,2017-08-02 09:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,def end,camp
4419,pre,True,2017-08-02 09:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,tight end,camp
4418,pat/fg,True,2017-08-02 09:40:00,fall camp practice #3,0.0,0.0,0.0,0.0,linebacker,camp
4417,pat/fg,True,2017-08-02 09:40:00,fall camp practice #3,0.3,0.0,0.0,0.0,tight end,camp
4416,run pursuit,True,2017-08-02 09:45:00,fall camp practice #3,0.1111111111111111,0.0,0.0,0.0,linebacker,camp
4415,indy,True,2017-08-02 09:45:00,fall camp practice #3,0.1,0.0,0.0,0.0,off tackle,camp
4414,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.2,0.0,0.0,0.0,running back,camp
4413,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.1,0.0,0.0,0.0,off guard,camp
4412,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.1,0.0,0.0,0.0,tight end,camp
4411,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4410,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.1,0.0,0.0,0.0,off guard,camp
4409,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.2,0.0,0.0,0.0,tight end,camp
4408,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4407,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.1,0.0,0.0,0.0,off guard,camp
