event,before_break,day,event_type,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
fall camp practice #1,post,2017-07-31,camp,0,1,0,0,19,10,9,53,53,1007,1,1,0,0.0009930487,0,0,0.0009930487,0.0009930487
fall camp practice #1,pre,2017-07-31,camp,1,1,0,0,19,10,9,67,57,1183,2,1,0.0008453085,0.0008453085,0,0,0.0016906171,0.0008453085
fall camp practice #2,post,2017-08-01,camp,2,2,0,0,20,10,10,53,50,1030,4,2,0.0019417476,0.0019417476,0,0,0.0038834951,0.0019417476
fall camp practice #2,pre,2017-08-01,camp,1,1,0,0,20,10,10,67,57,1240,2,1,0.0008064516,0.0008064516,0,0,0.0016129032,0.0008064516
fall camp practice #3,post,2017-08-02,camp,18,15,3,1,19,9,10,52,52,988,36,18,0.0182186235,0.0151821862,0.0030364372,0.0010121457,0.036437247,0.0182186235
fall camp practice #3,pre,2017-08-02,camp,30,2,1,2,19,9,10,84,74,1496,33,3,0.0200534759,0.0013368984,0.0006684492,0.0013368984,0.0220588235,0.0020053476
fall camp practice #4,post,2017-08-03,camp,27,22,4,0,20,10,10,52,52,1040,53,26,0.0259615385,0.0211538462,0.0038461538,0,0.0509615385,0.025
fall camp practice #4,pre,2017-08-03,camp,30,16,1,0,20,10,10,84,74,1580,47,17,0.0189873418,0.0101265823,0.0006329114,0,0.0297468354,0.0107594937
fall camp practice #5,post,2017-08-04,camp,13,12,2,1,19,9,10,52,52,988,27,14,0.0131578947,0.012145749,0.0020242915,0.0010121457,0.0273279352,0.0141700405
fall camp practice #5,pre,2017-08-04,camp,19,10,2,0,19,9,10,84,74,1496,31,12,0.0127005348,0.006684492,0.0013368984,0,0.0207219251,0.0080213904
fall camp practice #6,post,2017-08-06,camp,17,8,1,2,19,9,10,52,52,988,26,9,0.0172064777,0.008097166,0.0010121457,0.0020242915,0.0263157895,0.0091093117
fall camp practice #6,pre,2017-08-06,camp,19,14,5,2,19,9,10,84,74,1496,38,19,0.0127005348,0.0093582888,0.003342246,0.0013368984,0.0254010695,0.0127005348
fall camp practice #7,post,2017-08-07,camp,13,6,3,2,19,9,10,52,52,988,22,9,0.0131578947,0.0060728745,0.0030364372,0.0020242915,0.0222672065,0.0091093117
fall camp practice #7,pre,2017-08-07,camp,13,5,0,1,19,9,10,84,74,1496,18,5,0.0086898396,0.003342246,0,0.0006684492,0.0120320856,0.003342246
fall camp practice #8,post,2017-08-08,camp,15,6,2,0,19,9,10,52,52,988,23,8,0.0151821862,0.0060728745,0.0020242915,0,0.0232793522,0.008097166
fall camp practice #8,pre,2017-08-08,camp,13,4,1,0,19,9,10,84,74,1496,18,5,0.0086898396,0.0026737968,0.0006684492,0,0.0120320856,0.003342246
fall camp scrimmage #1,post,2017-08-09,camp,23,11,3,0,18,9,9,122,122,2196,37,14,0.0104735883,0.0050091075,0.0013661202,0,0.016848816,0.0063752277
fall camp scrimmage #1,pre,2017-08-09,camp,7,1,0,0,18,9,9,38,38,684,8,1,0.0102339181,0.0014619883,0,0,0.0116959064,0.0014619883
fall camp practice #10,post,2017-08-11,camp,4,14,1,2,19,9,10,52,52,988,19,15,0.004048583,0.0141700405,0.0010121457,0.0020242915,0.0192307692,0.0151821862
fall camp practice #10,pre,2017-08-11,camp,20,13,2,2,19,9,10,84,74,1496,35,15,0.013368984,0.0086898396,0.0013368984,0.0013368984,0.0233957219,0.010026738
fall camp practice #11,post,2017-08-12,camp,17,9,1,1,19,9,10,52,52,988,27,10,0.0172064777,0.0091093117,0.0010121457,0.0010121457,0.0273279352,0.0101214575
