,event,before_break,day,event_type,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
89,fall camp practice #1,post,2017-07-31,camp,0.0,1.0,0.0,0.0,19,10,9,53.0,53.0,1007.0,1.0,1.0,0.0,0.0009930486593843098,0.0,0.0,0.0009930486593843098,0.0009930486593843098
90,fall camp practice #1,pre,2017-07-31,camp,1.0,1.0,0.0,0.0,19,10,9,67.0,57.0,1183.0,2.0,1.0,0.0008453085376162299,0.0008453085376162299,0.0,0.0,0.0016906170752324597,0.0008453085376162299
102,fall camp practice #2,post,2017-08-01,camp,2.0,2.0,0.0,0.0,20,10,10,53.0,50.0,1030.0,4.0,2.0,0.001941747572815534,0.001941747572815534,0.0,0.0,0.003883495145631068,0.001941747572815534
103,fall camp practice #2,pre,2017-08-01,camp,1.0,1.0,0.0,0.0,20,10,10,67.0,57.0,1240.0,2.0,1.0,0.0008064516129032258,0.0008064516129032258,0.0,0.0,0.0016129032258064516,0.0008064516129032258
104,fall camp practice #3,post,2017-08-02,camp,18.0,15.0,3.0,1.0,19,9,10,52.0,52.0,988.0,36.0,18.0,0.018218623481781375,0.015182186234817813,0.003036437246963563,0.0010121457489878543,0.03643724696356275,0.018218623481781375
105,fall camp practice #3,pre,2017-08-02,camp,30.0,2.0,1.0,2.0,19,9,10,84.0,74.0,1496.0,33.0,3.0,0.020053475935828877,0.001336898395721925,0.0006684491978609625,0.001336898395721925,0.022058823529411766,0.002005347593582888
106,fall camp practice #4,post,2017-08-03,camp,27.0,22.0,4.0,0.0,20,10,10,52.0,52.0,1040.0,53.0,26.0,0.025961538461538463,0.021153846153846155,0.0038461538461538464,0.0,0.05096153846153846,0.025
107,fall camp practice #4,pre,2017-08-03,camp,30.0,16.0,1.0,0.0,20,10,10,84.0,74.0,1580.0,47.0,17.0,0.0189873417721519,0.010126582278481013,0.0006329113924050633,0.0,0.029746835443037974,0.010759493670886076
108,fall camp practice #5,post,2017-08-04,camp,13.0,12.0,2.0,1.0,19,9,10,52.0,52.0,988.0,27.0,14.0,0.013157894736842105,0.012145748987854251,0.0020242914979757085,0.0010121457489878543,0.027327935222672066,0.01417004048582996
109,fall camp practice #5,pre,2017-08-04,camp,19.0,10.0,2.0,0.0,19,9,10,84.0,74.0,1496.0,31.0,12.0,0.01270053475935829,0.0066844919786096255,0.001336898395721925,0.0,0.02072192513368984,0.008021390374331552
110,fall camp practice #6,post,2017-08-06,camp,17.0,8.0,1.0,2.0,19,9,10,52.0,52.0,988.0,26.0,9.0,0.01720647773279352,0.008097165991902834,0.0010121457489878543,0.0020242914979757085,0.02631578947368421,0.009109311740890687
111,fall camp practice #6,pre,2017-08-06,camp,19.0,14.0,5.0,2.0,19,9,10,84.0,74.0,1496.0,38.0,19.0,0.01270053475935829,0.009358288770053475,0.0033422459893048127,0.001336898395721925,0.02540106951871658,0.01270053475935829
112,fall camp practice #7,post,2017-08-07,camp,13.0,6.0,3.0,2.0,19,9,10,52.0,52.0,988.0,22.0,9.0,0.013157894736842105,0.006072874493927126,0.003036437246963563,0.0020242914979757085,0.022267206477732792,0.009109311740890687
113,fall camp practice #7,pre,2017-08-07,camp,13.0,5.0,0.0,1.0,19,9,10,84.0,74.0,1496.0,18.0,5.0,0.008689839572192513,0.0033422459893048127,0.0,0.0006684491978609625,0.012032085561497326,0.0033422459893048127
114,fall camp practice #8,post,2017-08-08,camp,15.0,6.0,2.0,0.0,19,9,10,52.0,52.0,988.0,23.0,8.0,0.015182186234817813,0.006072874493927126,0.0020242914979757085,0.0,0.02327935222672065,0.008097165991902834
115,fall camp practice #8,pre,2017-08-08,camp,13.0,4.0,1.0,0.0,19,9,10,84.0,74.0,1496.0,18.0,5.0,0.008689839572192513,0.00267379679144385,0.0006684491978609625,0.0,0.012032085561497326,0.0033422459893048127
116,fall camp scrimmage #1,post,2017-08-09,camp,23.0,11.0,3.0,0.0,18,9,9,122.0,122.0,2196.0,37.0,14.0,0.010473588342440802,0.005009107468123861,0.001366120218579235,0.0,0.016848816029143898,0.006375227686703097
117,fall camp scrimmage #1,pre,2017-08-09,camp,7.0,1.0,0.0,0.0,18,9,9,38.0,38.0,684.0,8.0,1.0,0.01023391812865497,0.0014619883040935672,0.0,0.0,0.011695906432748537,0.0014619883040935672
91,fall camp practice #10,post,2017-08-11,camp,4.0,14.0,1.0,2.0,19,9,10,52.0,52.0,988.0,19.0,15.0,0.004048582995951417,0.01417004048582996,0.0010121457489878543,0.0020242914979757085,0.019230769230769232,0.015182186234817813
92,fall camp practice #10,pre,2017-08-11,camp,20.0,13.0,2.0,2.0,19,9,10,84.0,74.0,1496.0,35.0,15.0,0.013368983957219251,0.008689839572192513,0.001336898395721925,0.001336898395721925,0.02339572192513369,0.010026737967914439
93,fall camp practice #11,post,2017-08-12,camp,17.0,9.0,1.0,1.0,19,9,10,52.0,52.0,988.0,27.0,10.0,0.01720647773279352,0.009109311740890687,0.0010121457489878543,0.0010121457489878543,0.027327935222672066,0.010121457489878543
94,fall camp practice #11,pre,2017-08-12,camp,13.0,12.0,2.0,1.0,19,9,10,94.0,74.0,1586.0,27.0,14.0,0.00819672131147541,0.007566204287515763,0.0012610340479192938,0.0006305170239596469,0.017023959646910468,0.008827238335435058
95,fall camp practice #12,post,2017-08-13,camp,14.0,8.0,2.0,0.0,18,9,9,52.0,52.0,936.0,24.0,10.0,0.014957264957264958,0.008547008547008548,0.002136752136752137,0.0,0.02564102564102564,0.010683760683760684
96,fall camp practice #12,pre,2017-08-13,camp,16.0,8.0,0.0,0.0,18,9,9,84.0,74.0,1422.0,24.0,8.0,0.011251758087201125,0.005625879043600563,0.0,0.0,0.016877637130801686,0.005625879043600563
97,fall camp practice #13,post,2017-08-14,camp,23.0,4.0,3.0,0.0,18,9,9,52.0,52.0,936.0,30.0,7.0,0.024572649572649572,0.004273504273504274,0.003205128205128205,0.0,0.03205128205128205,0.007478632478632479
98,fall camp practice #13,pre,2017-08-14,camp,12.0,5.0,0.0,1.0,18,9,9,84.0,74.0,1422.0,17.0,5.0,0.008438818565400843,0.0035161744022503515,0.0,0.0007032348804500703,0.011954992967651195,0.0035161744022503515
99,fall camp practice #14,post,2017-08-16,camp,17.0,6.0,3.0,0.0,19,10,9,52.0,52.0,988.0,26.0,9.0,0.01720647773279352,0.006072874493927126,0.003036437246963563,0.0,0.02631578947368421,0.009109311740890687
100,fall camp practice #14,pre,2017-08-16,camp,13.0,8.0,1.0,0.0,19,10,9,84.0,74.0,1506.0,22.0,9.0,0.008632138114209827,0.005312084993359893,0.0006640106241699867,0.0,0.014608233731739707,0.00597609561752988
118,fall camp scrimmage #2,post,2017-08-18,camp,33.0,13.0,8.0,3.0,19,9,10,97.0,97.0,1843.0,54.0,21.0,0.017905588714053174,0.00705371676614216,0.004340748779164406,0.0016277807921866521,0.02930005425935974,0.011394465545306565
119,fall camp scrimmage #2,pre,2017-08-18,camp,6.0,3.0,1.0,0.0,19,9,10,46.0,36.0,774.0,10.0,4.0,0.007751937984496124,0.003875968992248062,0.0012919896640826874,0.0,0.012919896640826873,0.00516795865633075
101,fall camp practice #17,pre,2017-08-19,camp,1.0,1.0,0.0,0.0,20,10,10,72.0,65.0,1370.0,2.0,1.0,0.00072992700729927,0.00072992700729927,0.0,0.0,0.00145985401459854,0.00072992700729927
41,Oklahoma State #1,post,2017-08-20,tues,16.0,10.0,1.0,1.0,20,10,10,60.0,57.0,1170.0,27.0,11.0,0.013675213675213675,0.008547008547008548,0.0008547008547008547,0.0008547008547008547,0.023076923076923078,0.009401709401709401
42,Oklahoma State #1,pre,2017-08-20,tues,5.0,2.0,1.0,0.0,20,10,10,58.0,58.0,1160.0,8.0,3.0,0.004310344827586207,0.0017241379310344827,0.0008620689655172414,0.0,0.006896551724137931,0.002586206896551724
43,Oklahoma State #2,post,2017-08-22,tues,11.0,5.0,4.0,0.0,20,10,10,57.0,57.0,1140.0,20.0,9.0,0.009649122807017544,0.0043859649122807015,0.0035087719298245615,0.0,0.017543859649122806,0.007894736842105263
44,Oklahoma State #2,pre,2017-08-22,tues,2.0,3.0,0.0,0.0,20,10,10,68.0,58.0,1260.0,5.0,3.0,0.0015873015873015873,0.002380952380952381,0.0,0.0,0.003968253968253968,0.002380952380952381
45,Oklahoma State #3,post,2017-08-23,wed,16.0,5.0,4.0,1.0,20,10,10,42.0,57.0,990.0,25.0,9.0,0.01616161616161616,0.005050505050505051,0.00404040404040404,0.00101010101010101,0.025252525252525252,0.00909090909090909
46,Oklahoma State #3,pre,2017-08-23,wed,10.0,1.0,2.0,1.0,20,10,10,91.0,66.0,1570.0,13.0,3.0,0.006369426751592357,0.0006369426751592356,0.0012738853503184713,0.0006369426751592356,0.008280254777070064,0.001910828025477707
