,activity,before_break,date,event,h2,h3,h4,h5,player,type
4428,pre,True,2017-07-31 19:05:00,fall camp practice #1,0.0,0.0,0.0,0.0,linebacker,camp
4427,pre,True,2017-07-31 19:05:00,fall camp practice #1,0.0,1.0,0.0,0.0,off guard,camp
4425,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,tight end,camp
4423,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,wide receiver,camp
4426,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,1.0,0.0,0.0,0.0,off guard,camp
4424,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,off tackle,camp
4422,indy,True,2017-07-31 19:20:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4421,otb,True,2017-07-31 19:25:00,fall camp practice #1,0.0,0.0,0.0,0.0,wide receiver,camp
4420,indy,True,2017-07-31 19:30:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4419,indy,True,2017-07-31 19:40:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4418,team w/ 3s,False,2017-07-31 20:10:00,fall camp practice #1,0.0,0.5,0.0,0.0,wide receiver,camp
4417,post-practice/punt team,False,2017-07-31 20:45:00,fall camp practice #1,0.0,0.0,0.0,0.0,wide receiver,camp
4416,post,False,2017-07-31 20:50:00,fall camp practice #1,0.0,0.0,0.0,0.0,def tackle,camp
4415,indy,True,2017-08-01 14:55:00,fall camp practice #2,0.5,0.0,0.0,0.0,linebacker,camp
4414,halfzone,True,2017-08-01 15:00:00,fall camp practice #2,0.0,0.5,0.0,0.0,linebacker,camp
4413,indy,True,2017-08-01 15:15:00,fall camp practice #2,0.0,0.0,0.0,0.0,def end,camp
4412,skell vs. offense,False,2017-08-01 15:30:00,fall camp practice #2,0.5,0.0,0.0,0.0,linebacker,camp
4411,team w/ 3s,False,2017-08-01 15:40:00,fall camp practice #2,0.0,0.0,0.0,0.0,off tackle,camp
4410,team vs. def,False,2017-08-01 15:45:00,fall camp practice #2,0.0,0.0,0.0,0.0,wide receiver,camp
4409,team vs. def,False,2017-08-01 15:50:00,fall camp practice #2,0.0,0.0,0.0,0.0,off guard,camp
4408,team vs. offense,False,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,def tackle,camp
4407,team vs. offense,False,2017-08-01 16:00:00,fall camp practice #2,0.0,0.5,0.0,0.0,def end,camp
4406,team vs. def,False,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,off guard,camp
