,activity,before_break,date,event,h1,h2,h3,h4,h5,player,type
4361,pre,True,2017-07-31 19:05:00,fall camp practice #1,0.005,0.0,0.0,0.0,0.0,linebacker,camp
4360,pre,True,2017-07-31 19:05:00,fall camp practice #1,0.01111111111111111,0.0,0.01111111111111111,0.0,0.0,off guard,camp
4358,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.02222222222222222,0.0,0.0,0.0,0.0,tight end,camp
4356,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.02222222222222222,0.0,0.0,0.0,0.0,wide receiver,camp
4359,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.02222222222222222,0.02222222222222222,0.0,0.0,0.0,off guard,camp
4357,pat/fg,True,2017-07-31 19:10:00,fall camp practice #1,0.02222222222222222,0.0,0.0,0.0,0.0,off tackle,camp
4355,indy,True,2017-07-31 19:20:00,fall camp practice #1,0.006666666666666667,0.0,0.0,0.0,0.0,def tackle,camp
4354,otb,True,2017-07-31 19:25:00,fall camp practice #1,0.007407407407407407,0.0,0.0,0.0,0.0,wide receiver,camp
4353,indy,True,2017-07-31 19:30:00,fall camp practice #1,0.05,0.0,0.0,0.0,0.0,def tackle,camp
4352,indy,True,2017-07-31 19:40:00,fall camp practice #1,0.020833333333333332,0.0,0.0,0.0,0.0,def tackle,camp
4351,team w/ 3s,False,2017-07-31 20:10:00,fall camp practice #1,0.0,0.0,0.013888888888888888,0.0,0.0,wide receiver,camp
4350,post-practice/punt team,False,2017-07-31 20:45:00,fall camp practice #1,0.0,0.016666666666666666,0.0,0.0,0.0,wide receiver,camp
4349,post,False,2017-07-31 20:50:00,fall camp practice #1,,,,,,def tackle,camp
4348,indy,True,2017-08-01 14:55:00,fall camp practice #2,0.0,0.006666666666666667,0.0,0.0,0.0,linebacker,camp
4347,halfzone,True,2017-08-01 15:00:00,fall camp practice #2,0.0,0.0,0.016666666666666666,0.0,0.0,linebacker,camp
4346,indy,True,2017-08-01 15:15:00,fall camp practice #2,0.020833333333333332,0.0,0.0,0.0,0.0,def end,camp
4345,skell vs. offense,False,2017-08-01 15:30:00,fall camp practice #2,0.0,0.016666666666666666,0.0,0.0,0.0,linebacker,camp
4344,team w/ 3s,False,2017-08-01 15:40:00,fall camp practice #2,0.0125,0.0,0.0,0.0,0.0,off tackle,camp
4343,team vs. def,False,2017-08-01 15:45:00,fall camp practice #2,0.005,0.0,0.0,0.0,0.0,wide receiver,camp
4342,team vs. def,False,2017-08-01 15:50:00,fall camp practice #2,0.005,0.0,0.0,0.0,0.0,off guard,camp
4341,team vs. offense,False,2017-08-01 16:00:00,fall camp practice #2,0.005,0.0,0.0,0.0,0.0,def tackle,camp
4340,team vs. offense,False,2017-08-01 16:00:00,fall camp practice #2,0.005,0.0,0.005,0.0,0.0,def end,camp
4339,team vs. def,False,2017-08-01 16:00:00,fall camp practice #2,0.005,0.0,0.0,0.0,0.0,off guard,camp
4338,team vs. def,False,2017-08-01 16:00:00,fall camp practice #2,0.01,0.0,0.0,0.0,0.0,tight end,camp
4332,team vs. def,False,2017-08-01 16:05:00,fall camp practice #2,0.005,0.0,0.0,0.0,0.0,off guard,camp
4333,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.01,0.0,0.0,0.0,0.0,def tackle,camp
4336,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.0,0.005,0.0,0.0,0.0,linebacker,camp
4335,team vs. def,False,2017-08-01 16:05:00,fall camp practice #2,0.015,0.0,0.0,0.0,0.0,tight end,camp
4334,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.005,0.0,0.0,0.0,0.0,def end,camp
4337,team vs. offense,False,2017-08-01 16:05:00,fall camp practice #2,0.005,0.0,0.0,0.0,0.0,def tackle,camp
4331,post-practice/punt team,False,2017-08-01 16:10:00,fall camp practice #2,0.01,0.0,0.0,0.0,0.0,def end,camp
4330,post-practice/punt team,False,2017-08-01 16:10:00,fall camp practice #2,0.01,0.0,0.0,0.0,0.0,linebacker,camp
4329,post-practice,False,2017-08-01 16:10:00,fall camp practice #2,0.025,0.0,0.0,0.0,0.0,off tackle,camp
4328,post-practice/punt team,False,2017-08-01 16:10:00,fall camp practice #2,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,tight end,camp
4327,post-practice,False,2017-08-01 16:10:00,fall camp practice #2,0.025,0.0,0.0,0.0,0.0,off guard,camp
4326,post-practice,False,2017-08-01 16:15:00,fall camp practice #2,0.025,0.0,0.0,0.0,0.0,off guard,camp
4325,post-practice/punt team,False,2017-08-01 16:15:00,fall camp practice #2,0.01,0.0,0.0,0.0,0.0,def tackle,camp
4323,pre,True,2017-08-02 09:35:00,fall camp practice #3,0.01,0.0,0.0,0.0,0.0,tight end,camp
4324,pre,True,2017-08-02 09:35:00,fall camp practice #3,0.005555555555555555,0.0,0.0,0.0,0.0,def end,camp
4321,pat/fg,True,2017-08-02 09:40:00,fall camp practice #3,0.02,0.06,0.0,0.0,0.0,tight end,camp
4322,pat/fg,True,2017-08-02 09:40:00,fall camp practice #3,0.02222222222222222,0.0,0.0,0.0,0.0,linebacker,camp
4320,run pursuit,True,2017-08-02 09:45:00,fall camp practice #3,0.01111111111111111,0.01111111111111111,0.0,0.0,0.0,linebacker,camp
4319,indy,True,2017-08-02 09:45:00,fall camp practice #3,0.0,0.01,0.0,0.0,0.0,off tackle,camp
4318,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.01,0.02,0.0,0.0,0.0,running back,camp
4317,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.01,0.01,0.0,0.0,0.0,off guard,camp
4316,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.0,0.01,0.0,0.0,0.0,tight end,camp
4315,indy,True,2017-08-02 09:50:00,fall camp practice #3,0.01,0.0,0.0,0.0,0.0,off tackle,camp
4314,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.0,0.008333333333333333,0.0,0.0,0.0,off guard,camp
4313,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.0,0.016666666666666666,0.0,0.0,0.0,tight end,camp
4312,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.008333333333333333,0.0,0.0,0.0,0.0,off tackle,camp
4311,otb,True,2017-08-02 09:55:00,fall camp practice #3,0.0,0.008333333333333333,0.0,0.0,0.0,off guard,camp
4310,indy,True,2017-08-02 10:00:00,fall camp practice #3,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,def end,camp
4309,indy,True,2017-08-02 10:00:00,fall camp practice #3,0.0,0.009259259259259259,0.0,0.0,0.0,linebacker,camp
4308,indy,True,2017-08-02 10:05:00,fall camp practice #3,0.0,0.027777777777777776,0.0,0.0,0.0,linebacker,camp
4307,indy,True,2017-08-02 10:05:00,fall camp practice #3,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,def end,camp
4306,inside,True,2017-08-02 10:10:00,fall camp practice #3,0.02,0.0,0.0,0.0,0.0,def tackle,camp
4304,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.01,0.0,0.0,0.0,0.0,off guard,camp
4303,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.02,0.0,0.0,0.0,linebacker,camp
4302,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.02,0.02,0.02,0.0,0.0,def end,camp
4301,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.01,0.0,0.0,0.0,running back,camp
4300,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.02,0.0,0.0,0.0,0.02,linebacker,camp
4299,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.02,0.0,0.0,0.0,0.0,def tackle,camp
4298,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.01,0.0,0.0,0.0,0.0,off guard,camp
4297,inside,True,2017-08-02 10:15:00,fall camp practice #3,0.02,0.02,0.0,0.0,0.0,def tackle,camp
4296,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.02,0.0,0.0,0.0,0.0,tight end,camp
4295,inside/1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.01,0.0,0.0,0.0,0.0,off tackle,camp
4305,1on1,True,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,0.025,safety,camp
4294,skell vs. def,True,2017-08-02 10:20:00,fall camp practice #3,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,tight end,camp
4293,team situation,True,2017-08-02 10:30:00,fall camp practice #3,0.0,0.01111111111111111,0.0,0.0,0.0,safety,camp
4289,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.01111111111111111,0.0,0.0,0.0,0.0,linebacker,camp
4287,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.0,0.02,0.0,0.0,0.0,tight end,camp
4291,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.02222222222222222,0.0,0.0,0.0,0.0,def tackle,camp
4290,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.01111111111111111,0.01111111111111111,0.0,0.0,0.0,linebacker,camp
4288,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.01,0.01,0.0,0.0,0.0,off tackle,camp
4292,team situation,True,2017-08-02 10:35:00,fall camp practice #3,0.0,0.01111111111111111,0.0,0.0,0.0,def end,camp
4286,team situation,False,2017-08-02 10:40:00,fall camp practice #3,0.01111111111111111,0.0,0.0,0.0,0.0,linebacker,camp
4285,team situation,False,2017-08-02 10:40:00,fall camp practice #3,0.02,0.0,0.0,0.0,0.0,off guard,camp
4284,skell vs. def,False,2017-08-02 10:55:00,fall camp practice #3,0.008333333333333333,0.0,0.0,0.0,0.0,off guard,camp
4283,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.0375,0.0125,0.0125,0.0125,0.0,tight end,camp
4282,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.0125,0.0,0.0125,0.0,0.0,off guard,camp
4281,team w/ 3s,False,2017-08-02 11:00:00,fall camp practice #3,0.0,0.025,0.0,0.0,0.0,off tackle,camp
4274,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.005,0.0,0.0,0.0,running back,camp
4275,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.005,0.0,0.0,0.0,0.0,wide receiver,camp
4276,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.0,0.005555555555555555,0.0,0.0,cornerback,camp
4278,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.0,0.01111111111111111,0.0,0.0,def end,camp
4279,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.005,0.005,0.0,0.0,tight end,camp
4280,team vs. offense,False,2017-08-02 11:05:00,fall camp practice #3,0.0,0.005555555555555555,0.005555555555555555,0.0,0.0,linebacker,camp
4277,team vs. def,False,2017-08-02 11:05:00,fall camp practice #3,0.005,0.005,0.005,0.0,0.0,tight end,camp
4268,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.005555555555555555,0.0,0.0,0.0,def end,camp
4267,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.005555555555555555,0.005555555555555555,0.0,0.0,0.0,cornerback,camp
4269,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.005555555555555555,0.0,0.0,0.0,0.0,def tackle,camp
4272,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.005555555555555555,0.0,0.0,0.0,0.0,def tackle,camp
4271,team vs. offense,False,2017-08-02 11:10:00,fall camp practice #3,0.0,0.0,0.005555555555555555,0.0,0.0,safety,camp
4273,team vs. def,False,2017-08-02 11:10:00,fall camp practice #3,0.005,0.0,0.0,0.0,0.0,running back,camp
