,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4457,pre,pre,2017-07-31 19:05:00,fall camp practice #1,0.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-07-31
4456,pre,pre,2017-07-31 19:05:00,fall camp practice #1,0.0,1.0,0.0,0.0,og,off guard,offensive,camp,2017-07-31
4454,pat/fg,pre,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-07-31
4452,pat/fg,pre,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,wr,wide receiver,offensive,camp,2017-07-31
4455,pat/fg,pre,2017-07-31 19:10:00,fall camp practice #1,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-07-31
4453,pat/fg,pre,2017-07-31 19:10:00,fall camp practice #1,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-07-31
4451,indy,pre,2017-07-31 19:20:00,fall camp practice #1,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-07-31
4450,otb,pre,2017-07-31 19:25:00,fall camp practice #1,0.0,0.0,0.0,0.0,wr,wide receiver,offensive,camp,2017-07-31
4449,indy,pre,2017-07-31 19:30:00,fall camp practice #1,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-07-31
4448,indy,pre,2017-07-31 19:40:00,fall camp practice #1,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-07-31
4447,team w/ 3s,post,2017-07-31 20:10:00,fall camp practice #1,0.0,1.0,0.0,0.0,wr,wide receiver,offensive,camp,2017-07-31
4446,post-practice/punt team,post,2017-07-31 20:45:00,fall camp practice #1,0.0,0.0,0.0,0.0,wr,wide receiver,offensive,camp,2017-07-31
4445,post,post,2017-07-31 20:50:00,fall camp practice #1,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-07-31
4444,indy,pre,2017-08-01 14:55:00,fall camp practice #2,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-01
4443,halfzone,pre,2017-08-01 15:00:00,fall camp practice #2,0.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-01
4442,indy,pre,2017-08-01 15:15:00,fall camp practice #2,0.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-01
4441,skell vs. offense,post,2017-08-01 15:30:00,fall camp practice #2,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-01
4440,team w/ 3s,post,2017-08-01 15:40:00,fall camp practice #2,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-01
4439,team vs. def,post,2017-08-01 15:45:00,fall camp practice #2,0.0,0.0,0.0,0.0,wr,wide receiver,offensive,camp,2017-08-01
4438,team vs. def,post,2017-08-01 15:50:00,fall camp practice #2,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-01
4435,team vs. def,post,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-01
4434,team vs. def,post,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-01
4437,team vs. offense,post,2017-08-01 16:00:00,fall camp practice #2,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-01
4436,team vs. offense,post,2017-08-01 16:00:00,fall camp practice #2,0.0,1.0,0.0,0.0,de,def end,defensive,camp,2017-08-01
4433,team vs. offense,post,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-01
4432,team vs. offense,post,2017-08-01 16:05:00,fall camp practice #2,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-01
4431,team vs. def,post,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-01
4430,team vs. offense,post,2017-08-01 16:05:00,fall camp practice #2,0.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-01
