,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
0,Conneticut Game,2017-10-21,cornerback,cb,defensive,3.556609365737997,0.44457617071724964,0.0,0.44457617071724964,4.001185536455247,2,33.739999999999995,67.47999999999999
9,Houston Game,2017-10-14,cornerback,cb,defensive,1.4058106841611997,2.8116213683223994,0.46860356138706655,0.0,4.686035613870666,2,32.01,64.02
18,Louisiana Game,2017-09-09,cornerback,cb,defensive,3.8223516563523847,1.6381507098653076,0.0,0.0,5.460502366217693,2,27.47,54.94
28,Memphis Game,2017-11-03,cornerback,cb,defensive,1.7584994138335286,0.8792497069167643,1.3188745603751464,0.43962485345838215,3.956623681125439,2,34.120000000000005,68.24000000000001
37,Navy Game,2017-09-30,cornerback,cb,defensive,1.8925056775170328,1.514004542013626,0.3785011355034065,0.0,3.7850113550340656,2,39.629999999999995,79.25999999999999
47,New Mexico Game,2017-09-23,cornerback,cb,defensive,0.3514526710402999,0.3514526710402999,0.3514526710402999,0.3514526710402999,1.0543580131208998,2,42.68,85.36
57,Oklahoma State Game,2017-08-31,cornerback,cb,defensive,3.214744963566224,2.571795970852979,0.6429489927132448,0.6429489927132448,6.429489927132448,2,23.33,46.66
67,S Florida Game,2017-11-16,cornerback,cb,defensive,3.364485981308411,0.5607476635514018,0.5607476635514018,0.0,4.485981308411215,2,26.75,53.5
76,S Methodist Game,2017-10-27,cornerback,cb,defensive,3.52112676056338,1.76056338028169,0.0,0.5868544600938966,5.28169014084507,2,25.560000000000002,51.120000000000005
85,Temple Game,2017-11-25,cornerback,cb,defensive,4.10958904109589,2.5684931506849313,0.0,0.0,6.678082191780821,2,29.200000000000003,58.400000000000006
94,Toledo Game,2017-09-16,cornerback,cb,defensive,3.511509949278189,1.1705033164260632,1.1705033164260632,0.0,5.852516582130316,2,25.630000000000003,51.260000000000005
104,Tulane Game,2017-10-07,cornerback,cb,defensive,0.6876002750401101,0.6876002750401101,0.0,0.0,1.3752005500802202,2,43.629999999999995,87.25999999999999
