,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
2,Conneticut Game,2017-10-21,def tackle,dt,defensive,3.1120331950207474,2.2228808535862483,0.8891523414344993,0.0,6.224066390041495,2,33.739999999999995,67.47999999999999
11,Houston Game,2017-10-14,def tackle,dt,defensive,0.9372071227741331,0.0,0.0,0.0,0.9372071227741331,2,32.01,64.02
20,Louisiana Game,2017-09-09,def tackle,dt,defensive,2.7302511831088463,0.5460502366217692,0.5460502366217692,0.0,3.822351656352385,2,27.47,54.94
30,Memphis Game,2017-11-03,def tackle,dt,defensive,6.1547479484173495,7.913247362250878,3.516998827667057,0.0,17.584994138335283,1,34.120000000000005,34.120000000000005
39,Navy Game,2017-09-30,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,39.629999999999995,39.629999999999995
49,New Mexico Game,2017-09-23,def tackle,dt,defensive,2.8116213683223994,1.4058106841611997,0.7029053420805998,0.0,4.920337394564199,2,42.68,85.36
59,Oklahoma State Game,2017-08-31,def tackle,dt,defensive,7.072438919845693,1.9288469781397344,0.0,0.6429489927132448,9.001285897985428,2,23.33,46.66
69,S Florida Game,2017-11-16,def tackle,dt,defensive,6.728971962616822,8.97196261682243,1.1214953271028036,0.0,16.822429906542055,1,26.75,26.75
78,S Methodist Game,2017-10-27,def tackle,dt,defensive,8.215962441314554,1.1737089201877933,0.0,0.0,9.389671361502348,1,25.560000000000002,25.560000000000002
87,Temple Game,2017-11-25,def tackle,dt,defensive,5.136986301369863,10.273972602739725,1.0273972602739725,1.0273972602739725,16.43835616438356,1,29.200000000000003,29.200000000000003
96,Toledo Game,2017-09-16,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,25.630000000000003,25.630000000000003
106,Tulane Game,2017-10-07,def tackle,dt,defensive,8.251203300481322,6.1884024753609905,0.6876002750401101,0.0,15.127206050882423,1,43.629999999999995,43.629999999999995
