,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
3,Conneticut Game,2017-10-21,linebacker,lb,defensive,3.556609365737997,6.6686425607587445,4.001185536455247,1.3337285121517488,14.226437462951989,2,33.739999999999995,67.47999999999999
12,Houston Game,2017-10-14,linebacker,lb,defensive,6.560449859418932,4.217432052483599,1.8744142455482662,1.8744142455482662,12.652296157450797,2,32.01,64.02
21,Louisiana Game,2017-09-09,linebacker,lb,defensive,5.460502366217693,4.914452129595923,1.6381507098653076,1.6381507098653076,12.013105205678922,2,27.47,54.94
31,Memphis Game,2017-11-03,linebacker,lb,defensive,6.1547479484173495,3.516998827667057,0.43962485345838215,1.7584994138335286,10.111371629542788,2,34.120000000000005,68.24000000000001
40,Navy Game,2017-09-30,linebacker,lb,defensive,5.677517032551099,4.163512490537472,1.1355034065102196,0.757002271006813,10.97653292959879,2,39.629999999999995,79.25999999999999
50,New Mexico Game,2017-09-23,linebacker,lb,defensive,3.1630740393626993,1.0543580131208998,0.7029053420805998,0.7029053420805998,4.920337394564199,2,42.68,85.36
60,Oklahoma State Game,2017-08-31,linebacker,lb,defensive,10.930132876125162,4.500642948992714,1.9288469781397344,1.9288469781397344,17.35962280325761,2,23.33,46.66
70,S Florida Game,2017-11-16,linebacker,lb,defensive,8.411214953271028,7.289719626168225,1.6822429906542056,1.1214953271028036,17.38317757009346,2,26.75,53.5
79,S Methodist Game,2017-10-27,linebacker,lb,defensive,5.868544600938967,4.694835680751173,1.1737089201877933,0.0,11.737089201877934,2,25.560000000000002,51.120000000000005
88,Temple Game,2017-11-25,linebacker,lb,defensive,6.678082191780821,6.678082191780821,4.10958904109589,1.0273972602739725,17.46575342465753,2,29.200000000000003,58.400000000000006
97,Toledo Game,2017-09-16,linebacker,lb,defensive,8.193523214982442,8.193523214982442,2.9262582910651576,2.3410066328521264,19.31330472103004,2,25.630000000000003,51.260000000000005
107,Tulane Game,2017-10-07,linebacker,lb,defensive,2.0628008251203305,1.7190006876002752,0.0,0.34380013752005506,3.7818015127206057,2,43.629999999999995,87.25999999999999
