,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
4,Conneticut Game,2017-10-21,off guard,og,offensive,4.56968773800457,0.5712109672505713,0.0,0.0,5.140898705255141,2,26.259999999999998,52.519999999999996
13,Houston Game,2017-10-14,off guard,og,offensive,6.430868167202572,2.1436227224008575,0.5359056806002144,0.5359056806002144,9.110396570203644,2,27.990000000000002,55.980000000000004
22,Louisiana Game,2017-09-09,off guard,og,offensive,9.222256378727328,1.8444512757454656,0.0,0.0,11.066707654472793,2,32.53,65.06
32,Memphis Game,2017-11-03,off guard,og,offensive,4.63678516228748,5.79598145285935,1.15919629057187,0.0,11.5919629057187,2,25.880000000000003,51.760000000000005
41,Navy Game,2017-09-30,off guard,og,offensive,4.4182621502209125,2.2091310751104563,0.0,0.0,6.627393225331369,2,20.37,40.74
51,New Mexico Game,2017-09-23,off guard,og,offensive,6.928406466512702,3.464203233256351,0.8660508083140878,0.0,11.25866050808314,2,17.32,34.64
61,Oklahoma State Game,2017-08-31,off guard,og,offensive,7.772020725388601,2.863376056722116,0.4090537223888737,0.0,11.044450504499592,2,36.67,73.34
71,S Florida Game,2017-11-16,off guard,og,offensive,3.6090225563909772,3.1578947368421053,0.9022556390977443,0.0,7.669172932330827,2,33.25,66.5
80,S Methodist Game,2017-10-27,off guard,og,offensive,2.613240418118467,0.4355400696864112,0.0,0.0,3.0487804878048785,2,34.44,68.88
89,Temple Game,2017-11-25,off guard,og,offensive,6.3311688311688314,5.357142857142857,1.461038961038961,0.0,13.14935064935065,2,30.8,61.6
98,Toledo Game,2017-09-16,off guard,og,offensive,7.855688100087284,5.23712540005819,1.7457084666860632,0.0,14.838521966831538,2,34.370000000000005,68.74000000000001
108,Tulane Game,2017-10-07,off guard,og,offensive,5.497861942577887,2.7489309712889436,0.0,0.0,8.24679291386683,2,16.369999999999997,32.739999999999995
