,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
5,Conneticut Game,2017-10-21,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,1,26.259999999999998,26.259999999999998
14,Houston Game,2017-10-14,off tackle,ot,offensive,6.430868167202572,7.502679528403,0.5359056806002144,0.0,14.469453376205786,2,27.990000000000002,55.980000000000004
23,Louisiana Game,2017-09-09,off tackle,ot,offensive,8.300030740854595,5.072241008300031,0.0,0.0,13.372271749154626,2,32.53,65.06
33,Memphis Game,2017-11-03,off tackle,ot,offensive,1.15919629057187,1.15919629057187,0.0,0.0,2.31839258114374,1,25.880000000000003,25.880000000000003
42,Navy Game,2017-09-30,off tackle,ot,offensive,10.309278350515463,5.154639175257731,0.7363770250368188,0.0,16.200294550810014,2,20.37,40.74
52,New Mexico Game,2017-09-23,off tackle,ot,offensive,10.392609699769054,2.5981524249422634,1.7321016166281755,0.0,14.722863741339493,2,17.32,34.64
62,Oklahoma State Game,2017-08-31,off tackle,ot,offensive,6.5448595582219795,1.6362148895554949,0.4090537223888737,0.0,8.590128170166349,2,36.67,73.34
72,S Florida Game,2017-11-16,off tackle,ot,offensive,1.8045112781954886,0.9022556390977443,0.0,0.0,2.706766917293233,2,33.25,66.5
81,S Methodist Game,2017-10-27,off tackle,ot,offensive,0.8710801393728224,0.0,0.0,0.0,0.8710801393728224,1,34.44,34.44
90,Temple Game,2017-11-25,off tackle,ot,offensive,4.87012987012987,3.409090909090909,0.0,0.0,8.279220779220779,2,30.8,61.6
99,Toledo Game,2017-09-16,off tackle,ot,offensive,8.2921152167588,2.618562700029095,0.4364271166715158,0.0,11.34710503345941,2,34.370000000000005,68.74000000000001
109,Tulane Game,2017-10-07,off tackle,ot,offensive,5.497861942577887,9.163103237629812,0.9163103237629812,0.0,15.577275503970682,2,16.369999999999997,32.739999999999995
