,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
6,Conneticut Game,2017-10-21,running back,qbrb,offensive,0.0,2.284843869002285,0.0,0.0,2.284843869002285,1,26.259999999999998,26.259999999999998
15,Houston Game,2017-10-14,running back,qbrb,offensive,12.861736334405144,8.57449088960343,2.1436227224008575,1.0718113612004287,23.579849946409432,1,27.990000000000002,27.990000000000002
24,Louisiana Game,2017-09-09,running back,qbrb,offensive,10.605594835536428,5.533353827236397,0.4611128189363664,1.3833384568090992,16.600061481709194,2,32.53,65.06
34,Memphis Game,2017-11-03,running back,qbrb,offensive,10.43276661514683,9.27357032457496,5.79598145285935,3.4775888717156103,25.50231839258114,1,25.880000000000003,25.880000000000003
43,Navy Game,2017-09-30,running back,qbrb,offensive,25.03681885125184,13.254786450662738,4.4182621502209125,2.945508100147275,42.70986745213549,1,20.37,20.37
53,New Mexico Game,2017-09-23,running back,qbrb,offensive,17.321016166281755,6.928406466512702,10.392609699769054,3.464203233256351,34.64203233256351,1,17.32,17.32
63,Oklahoma State Game,2017-08-31,running back,qbrb,offensive,6.953913280610854,6.5448595582219795,3.2724297791109898,1.6362148895554949,16.77120261794382,2,36.67,73.34
73,S Florida Game,2017-11-16,running back,qbrb,offensive,7.2180451127819545,17.142857142857142,4.511278195488722,1.8045112781954886,28.872180451127818,1,33.25,33.25
82,S Methodist Game,2017-10-27,running back,qbrb,offensive,10.452961672473869,11.32404181184669,11.32404181184669,0.8710801393728224,33.10104529616725,1,34.44,34.44
91,Temple Game,2017-11-25,running back,qbrb,offensive,13.636363636363637,12.662337662337663,4.87012987012987,1.948051948051948,31.16883116883117,1,30.8,30.8
100,Toledo Game,2017-09-16,running back,qbrb,offensive,13.092813500145475,11.34710503345941,6.982833866744253,1.7457084666860632,31.42275240034914,1,34.370000000000005,34.370000000000005
110,Tulane Game,2017-10-07,running back,qbrb,offensive,7.330482590103849,5.497861942577887,0.0,0.0,12.828344532681736,1,16.369999999999997,16.369999999999997
