,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
7,Conneticut Game,2017-10-21,tight end,te,offensive,7.425742574257426,7.996953541507998,3.4272658035034276,1.1424219345011426,18.84996191926885,2,26.259999999999998,52.519999999999996
16,Houston Game,2017-10-14,tight end,te,offensive,5.359056806002143,9.110396570203644,1.0718113612004287,0.0,15.541264737406216,2,27.990000000000002,55.980000000000004
26,Louisiana Game,2017-09-09,tight end,te,offensive,12.450046111281893,4.611128189363664,1.3833384568090992,1.3833384568090992,18.444512757454657,2,32.53,65.06
35,Memphis Game,2017-11-03,tight end,te,offensive,2.31839258114374,3.4775888717156103,2.31839258114374,1.15919629057187,8.11437403400309,2,25.880000000000003,51.760000000000005
45,Navy Game,2017-09-30,tight end,te,offensive,18.40942562592047,2.945508100147275,3.681885125184094,0.0,25.03681885125184,2,20.37,40.74
55,New Mexico Game,2017-09-23,tight end,te,offensive,6.928406466512702,6.062355658198614,0.0,0.8660508083140878,12.990762124711317,2,17.32,34.64
65,Oklahoma State Game,2017-08-31,tight end,te,offensive,4.090537223888737,4.499590946277611,2.863376056722116,0.8181074447777474,11.453504226888464,2,36.67,73.34
74,S Florida Game,2017-11-16,tight end,te,offensive,3.1578947368421053,2.255639097744361,1.3533834586466165,0.0,6.766917293233083,2,33.25,66.5
83,S Methodist Game,2017-10-27,tight end,te,offensive,2.177700348432056,3.4843205574912894,0.8710801393728224,0.0,6.533101045296168,2,34.44,68.88
92,Temple Game,2017-11-25,tight end,te,offensive,2.922077922077922,3.896103896103896,0.974025974025974,0.0,7.792207792207792,2,30.8,61.6
102,Toledo Game,2017-09-16,tight end,te,offensive,4.364271166715158,8.728542333430315,4.800698283386674,1.7457084666860632,17.893511783532148,2,34.370000000000005,68.74000000000001
111,Tulane Game,2017-10-07,tight end,te,offensive,6.414172266340868,4.581551618814906,2.7489309712889436,0.0,13.744654856444718,2,16.369999999999997,32.739999999999995
