,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
8,Conneticut Game,2017-10-21,wide receiver,wr,offensive,6.283320639756284,3.4272658035034276,0.5712109672505713,0.5712109672505713,10.281797410510283,2,26.259999999999998,52.519999999999996
17,Houston Game,2017-10-14,wide receiver,wr,offensive,2.1436227224008575,0.5359056806002144,0.0,0.0,2.679528403001072,2,27.990000000000002,55.980000000000004
27,Louisiana Game,2017-09-09,wide receiver,wr,offensive,4.1500153704272975,0.9222256378727328,0.0,0.0,5.07224100830003,2,32.53,65.06
36,Memphis Game,2017-11-03,wide receiver,wr,offensive,1.15919629057187,0.0,1.15919629057187,0.0,2.31839258114374,2,25.880000000000003,51.760000000000005
46,Navy Game,2017-09-30,wide receiver,wr,offensive,5.89101620029455,1.4727540500736376,0.0,0.0,7.363770250368188,2,20.37,40.74
56,New Mexico Game,2017-09-23,wide receiver,wr,offensive,6.062355658198614,1.7321016166281755,0.0,0.0,7.794457274826789,2,17.32,34.64
66,Oklahoma State Game,2017-08-31,wide receiver,wr,offensive,2.863376056722116,0.4090537223888737,0.4090537223888737,0.0,3.6814835014998635,2,36.67,73.34
75,S Florida Game,2017-11-16,wide receiver,wr,offensive,0.9022556390977443,0.9022556390977443,0.0,0.0,1.8045112781954886,2,33.25,66.5
84,S Methodist Game,2017-10-27,wide receiver,wr,offensive,2.613240418118467,0.8710801393728224,0.0,0.4355400696864112,3.4843205574912894,2,34.44,68.88
93,Temple Game,2017-11-25,wide receiver,wr,offensive,5.844155844155844,1.461038961038961,0.487012987012987,0.487012987012987,7.792207792207791,2,30.8,61.6
103,Toledo Game,2017-09-16,wide receiver,wr,offensive,0.4364271166715158,0.0,0.0,0.0,0.4364271166715158,2,34.370000000000005,68.74000000000001
112,Tulane Game,2017-10-07,wide receiver,wr,offensive,0.0,0.9163103237629812,0.0,0.0,0.9163103237629812,2,16.369999999999997,32.739999999999995
