,date,Number,sum 2,sum 3,sum 4,sum 5,ptype,in_event
178,2017-11-23 10:25:00,6,0,0,0,0,defensive,False
216,2017-11-23 08:15:00,9,1,0,0,0,offensive,False
217,2017-11-22 16:15:00,19,0,0,0,0,offensive,False
218,2017-11-22 16:05:00,1,0,0,0,0,defensive,False
270,2017-11-22 13:55:00,19,0,0,0,0,offensive,False
271,2017-11-22 13:50:00,3,0,1,0,0,defensive,False
272,2017-11-21 16:45:00,7,0,1,0,0,defensive,False
273,2017-11-21 16:40:00,7,1,0,0,0,defensive,False
274,2017-11-21 16:35:00,7,0,0,0,0,defensive,False
332,2017-11-21 14:30:00,19,1,0,0,0,offensive,False
333,2017-11-21 14:20:00,14,0,0,0,0,offensive,False
334,2017-11-21 14:20:00,8,0,0,0,0,defensive,False
569,2017-11-07 15:55:00,1,0,0,0,0,defensive,False
904,2017-10-25 17:50:00,4,0,0,0,0,defensive,False
905,2017-10-25 17:20:00,16,0,0,0,0,offensive,False
964,2017-10-25 15:30:00,9,0,0,0,0,offensive,False
965,2017-10-25 15:30:00,3,2,0,0,0,defensive,False
966,2017-10-24 17:50:00,1,0,0,0,0,defensive,False
967,2017-10-24 17:40:00,15,0,0,0,0,offensive,False
968,2017-10-24 17:40:00,6,0,0,0,0,defensive,False
969,2017-10-24 17:40:00,4,0,0,0,0,defensive,False
1055,2017-10-24 15:30:00,19,0,0,0,0,offensive,False
1252,2017-10-17 17:35:00,17,0,0,0,0,offensive,False
1446,2017-10-11 17:35:00,8,0,0,0,0,defensive,False
1634,2017-10-04 16:55:00,1,0,0,0,0,defensive,False
1635,2017-10-04 16:40:00,8,0,1,0,0,defensive,False
1636,2017-10-04 16:40:00,1,1,0,0,0,defensive,False
1637,2017-10-04 16:35:00,8,0,1,0,0,defensive,False
1638,2017-10-04 16:35:00,20,0,0,0,0,offensive,False
1639,2017-10-04 16:35:00,5,0,0,0,0,defensive,False
1640,2017-10-04 16:35:00,19,1,3,0,0,offensive,False
1641,2017-10-04 16:30:00,8,0,0,0,0,defensive,False
1642,2017-10-04 16:30:00,19,2,0,0,1,offensive,False
1643,2017-10-04 16:30:00,2,0,0,0,0,defensive,False
1644,2017-10-04 16:25:00,19,1,1,0,0,offensive,False
1645,2017-10-04 16:20:00,4,1,0,0,0,defensive,False
1646,2017-10-04 16:20:00,19,1,0,0,0,offensive,False
1647,2017-10-04 16:15:00,19,1,0,0,0,offensive,False
1648,2017-10-04 16:15:00,4,1,0,0,0,defensive,False
