,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
1,Bye #1,2017-11-07,def end,de,defensive,0.8116883116883117,1.6233766233766234,0.0,0.8116883116883117,2.435064935064935,2,77.0,154.0
6,Conneticut #1,2017-10-17,def end,de,defensive,2.952755905511811,0.4921259842519685,0.0,0.0,3.4448818897637796,2,127.0,254.0
14,Conneticut #2,2017-10-18,def end,de,defensive,1.968503937007874,0.4921259842519685,0.0,0.0,2.4606299212598426,2,127.0,254.0
21,Conneticut #3,2017-10-19,def end,de,defensive,0.0,0.0,0.0,0.0,0.0,2,122.0,244.0
29,Houston #1,2017-10-10,def end,de,defensive,1.968503937007874,0.0,0.0,0.4921259842519685,1.968503937007874,2,127.0,254.0
36,Houston #2,2017-10-11,def end,de,defensive,1.4763779527559056,0.984251968503937,0.4921259842519685,0.0,2.952755905511811,2,127.0,254.0
43,Houston #3,2017-10-12,def end,de,defensive,0.5122950819672131,0.0,0.0,0.0,0.5122950819672131,2,122.0,244.0
48,Louisiana #1,2017-09-05,def end,de,defensive,3.937007874015748,4.429133858267717,0.4921259842519685,0.4921259842519685,8.858267716535433,2,127.0,254.0
58,Louisiana #2,2017-09-06,def end,de,defensive,5.092592592592593,2.314814814814815,0.9259259259259259,0.9259259259259259,8.333333333333334,2,135.0,270.0
68,Louisiana #3,2017-09-07,def end,de,defensive,0.0,0.0,0.0,0.0,0.0,2,122.0,244.0
78,Memphis #1,2017-10-31,def end,de,defensive,2.5826446280991737,2.0661157024793386,0.0,0.5165289256198347,4.648760330578512,2,121.0,242.0
87,Memphis #2,2017-11-01,def end,de,defensive,2.840909090909091,2.272727272727273,1.1363636363636365,0.0,6.25,2,110.0,220.0
93,Navy #1,2017-09-26,def end,de,defensive,5.208333333333333,5.208333333333333,2.0833333333333335,0.0,12.5,1,120.0,120.0
101,Navy #2,2017-09-27,def end,de,defensive,7.874015748031496,7.874015748031496,3.937007874015748,0.0,19.68503937007874,1,127.0,127.0
109,Navy #3,2017-09-28,def end,de,defensive,1.0245901639344261,1.0245901639344261,1.0245901639344261,0.0,3.0737704918032787,1,122.0,122.0
117,New Mexico #1,2017-09-19,def end,de,defensive,1.4763779527559056,0.4921259842519685,0.0,0.0,1.968503937007874,2,127.0,254.0
123,New Mexico #2,2017-09-20,def end,de,defensive,1.968503937007874,0.4921259842519685,0.984251968503937,0.0,3.4448818897637796,2,127.0,254.0
135,Oklahoma State #1,2017-08-20,def end,de,defensive,4.237288135593221,1.0593220338983051,0.0,0.0,5.296610169491526,2,118.0,236.0
142,Oklahoma State #2,2017-08-22,def end,de,defensive,0.5,0.5,0.0,0.0,1.0,2,125.0,250.0
151,Oklahoma State #3,2017-08-23,def end,de,defensive,0.9398496240601504,0.0,0.4699248120300752,0.4699248120300752,1.4097744360902256,2,133.0,266.0
160,Oklahoma State #5,2017-08-25,def end,de,defensive,2.0,0.0,0.0,0.0,2.0,2,125.0,250.0
166,Oklahoma State #6,2017-08-26,def end,de,defensive,1.4097744360902256,0.9398496240601504,0.0,0.0,2.3496240601503757,2,133.0,266.0
173,Oklahoma State #7,2017-08-27,def end,de,defensive,2.0380434782608696,0.0,0.0,0.0,2.0380434782608696,2,92.0,184.0
183,Oklahoma State Scrim,2017-08-24,def end,de,defensive,0.0,0.0,0.0,0.0,0.0,2,88.0,176.0
192,S Florida #1,2017-11-08,def end,de,defensive,4.587155963302752,0.0,1.7201834862385321,0.573394495412844,6.307339449541285,2,109.0,218.0
199,S Florida #2,2017-11-09,def end,de,defensive,0.0,3.094059405940594,0.6188118811881188,0.6188118811881188,3.712871287128713,2,101.0,202.0
206,S Florida #3,2017-11-12,def end,de,defensive,1.6741071428571428,1.1160714285714286,0.5580357142857143,0.0,3.3482142857142856,2,112.0,224.0
214,S Methodist #1,2017-10-24,def end,de,defensive,2.385496183206107,0.4770992366412214,0.4770992366412214,0.9541984732824428,3.3396946564885495,2,131.0,262.0
223,S Methodist #2,2017-10-25,def end,de,defensive,3.676470588235294,0.6127450980392157,0.0,0.0,4.28921568627451,2,102.0,204.0
232,Temple #1,2017-11-21,def end,de,defensive,1.968503937007874,3.4448818897637796,0.984251968503937,0.0,6.397637795275591,2,127.0,254.0
241,Temple #2,2017-11-22,def end,de,defensive,0.984251968503937,0.4921259842519685,0.0,0.984251968503937,1.4763779527559056,2,127.0,254.0
250,Temple #3,2017-11-23,def end,de,defensive,0.0,0.0,0.0,0.0,0.0,2,122.0,244.0
259,Toledo #1,2017-09-12,def end,de,defensive,4.429133858267717,3.937007874015748,0.4921259842519685,0.4921259842519685,8.858267716535433,2,127.0,254.0
269,Toledo #2,2017-09-13,def end,de,defensive,6.944444444444445,3.240740740740741,0.0,0.0,10.185185185185185,2,135.0,270.0
279,Toledo #3,2017-09-14,def end,de,defensive,0.4734848484848485,0.4734848484848485,0.0,0.0,0.946969696969697,2,132.0,264.0
289,Tulane #1,2017-10-03,def end,de,defensive,1.968503937007874,0.0,0.0,0.984251968503937,1.968503937007874,1,127.0,127.0
297,Tulane #2,2017-10-05,def end,de,defensive,0.5122950819672131,0.5122950819672131,0.0,0.0,1.0245901639344261,2,122.0,244.0
307,fall camp practice #10,2017-08-11,def end,de,defensive,1.838235294117647,2.7573529411764706,0.9191176470588235,1.838235294117647,5.514705882352941,1,136.0,136.0
317,fall camp practice #11,2017-08-12,def end,de,defensive,4.280821917808219,4.280821917808219,0.8561643835616438,0.0,9.417808219178083,1,146.0,146.0
326,fall camp practice #12,2017-08-13,def end,de,defensive,5.514705882352941,3.676470588235294,0.9191176470588235,0.0,10.11029411764706,1,136.0,136.0
335,fall camp practice #13,2017-08-14,def end,de,defensive,4.595588235294118,0.9191176470588235,0.0,0.9191176470588235,5.514705882352941,1,136.0,136.0
342,fall camp practice #14,2017-08-16,def end,de,defensive,1.838235294117647,1.3786764705882353,0.0,0.0,3.2169117647058822,2,136.0,272.0
354,fall camp practice #2,2017-08-01,def end,de,defensive,0.0,0.5208333333333334,0.0,0.0,0.5208333333333334,2,120.0,240.0
362,fall camp practice #3,2017-08-02,def end,de,defensive,5.514705882352941,3.676470588235294,0.9191176470588235,0.0,10.11029411764706,1,136.0,136.0
371,fall camp practice #4,2017-08-03,def end,de,defensive,1.3786764705882353,0.9191176470588235,0.45955882352941174,0.0,2.7573529411764706,2,136.0,272.0
380,fall camp practice #5,2017-08-04,def end,de,defensive,6.4338235294117645,2.7573529411764706,1.838235294117647,0.9191176470588235,11.029411764705882,1,136.0,136.0
390,fall camp practice #6,2017-08-06,def end,de,defensive,6.4338235294117645,8.272058823529411,3.676470588235294,1.838235294117647,18.38235294117647,1,136.0,136.0
400,fall camp practice #7,2017-08-07,def end,de,defensive,2.7573529411764706,0.0,0.0,0.0,2.7573529411764706,1,136.0,136.0
409,fall camp practice #8,2017-08-08,def end,de,defensive,3.676470588235294,0.9191176470588235,0.9191176470588235,0.0,5.514705882352941,1,136.0,136.0
418,fall camp scrimmage #1,2017-08-09,def end,de,defensive,3.90625,2.34375,0.0,0.0,6.25,1,160.0,160.0
426,fall camp scrimmage #2,2017-08-18,def end,de,defensive,2.6223776223776225,2.6223776223776225,0.0,0.0,5.244755244755245,1,143.0,143.0
