,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
2,Bye #1,2017-11-07,def tackle,dt,defensive,8.116883116883116,3.2467532467532467,0.0,0.0,11.363636363636363,1,77.0,77.0
7,Conneticut #1,2017-10-17,def tackle,dt,defensive,0.4921259842519685,0.0,0.0,0.0,0.4921259842519685,2,127.0,254.0
15,Conneticut #2,2017-10-18,def tackle,dt,defensive,0.4921259842519685,0.4921259842519685,0.0,0.0,0.984251968503937,2,127.0,254.0
22,Conneticut #3,2017-10-19,def tackle,dt,defensive,0.5122950819672131,0.0,0.0,0.0,0.5122950819672131,2,122.0,244.0
30,Houston #1,2017-10-10,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,127.0,127.0
37,Houston #2,2017-10-11,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,2,127.0,254.0
44,Houston #3,2017-10-12,def tackle,dt,defensive,0.5122950819672131,0.0,0.0,0.0,0.5122950819672131,2,122.0,244.0
49,Louisiana #1,2017-09-05,def tackle,dt,defensive,5.413385826771654,1.968503937007874,0.4921259842519685,0.0,7.874015748031496,2,127.0,254.0
59,Louisiana #2,2017-09-06,def tackle,dt,defensive,3.240740740740741,0.46296296296296297,0.0,0.0,3.7037037037037037,2,135.0,270.0
69,Louisiana #3,2017-09-07,def tackle,dt,defensive,0.5122950819672131,0.0,0.0,0.0,0.5122950819672131,2,122.0,244.0
79,Memphis #1,2017-10-31,def tackle,dt,defensive,2.0661157024793386,0.0,0.0,0.0,2.0661157024793386,1,121.0,121.0
88,Memphis #2,2017-11-01,def tackle,dt,defensive,2.272727272727273,0.0,0.0,0.0,2.272727272727273,1,110.0,110.0
94,Navy #1,2017-09-26,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,120.0,120.0
102,Navy #2,2017-09-27,def tackle,dt,defensive,0.984251968503937,0.0,0.0,0.0,0.984251968503937,1,127.0,127.0
118,New Mexico #1,2017-09-19,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,127.0,127.0
124,New Mexico #2,2017-09-20,def tackle,dt,defensive,0.984251968503937,0.4921259842519685,0.0,0.0,1.4763779527559056,2,127.0,254.0
130,New Mexico #3,2017-09-21,def tackle,dt,defensive,0.5122950819672131,1.0245901639344261,0.0,0.0,1.5368852459016393,2,122.0,244.0
136,Oklahoma State #1,2017-08-20,def tackle,dt,defensive,1.5889830508474576,0.0,0.0,0.0,1.5889830508474576,2,118.0,236.0
143,Oklahoma State #2,2017-08-22,def tackle,dt,defensive,0.0,0.5,0.0,0.0,0.5,2,125.0,250.0
152,Oklahoma State #3,2017-08-23,def tackle,dt,defensive,1.4097744360902256,0.0,0.0,0.0,1.4097744360902256,2,133.0,266.0
161,Oklahoma State #5,2017-08-25,def tackle,dt,defensive,1.0,1.0,0.0,0.0,2.0,2,125.0,250.0
167,Oklahoma State #6,2017-08-26,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,2,133.0,266.0
174,Oklahoma State #7,2017-08-27,def tackle,dt,defensive,0.6793478260869565,0.0,0.0,0.0,0.6793478260869565,2,92.0,184.0
184,Oklahoma State Scrim,2017-08-24,def tackle,dt,defensive,2.1306818181818183,0.7102272727272727,0.0,0.0,2.840909090909091,2,88.0,176.0
193,S Florida #1,2017-11-08,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,109.0,109.0
200,S Florida #2,2017-11-09,def tackle,dt,defensive,1.2376237623762376,0.0,0.0,0.0,1.2376237623762376,1,101.0,101.0
207,S Florida #3,2017-11-12,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,112.0,112.0
215,S Methodist #1,2017-10-24,def tackle,dt,defensive,0.9541984732824428,0.0,0.0,0.0,0.9541984732824428,1,131.0,131.0
224,S Methodist #2,2017-10-25,def tackle,dt,defensive,2.450980392156863,0.0,0.0,0.0,2.450980392156863,1,102.0,102.0
233,Temple #1,2017-11-21,def tackle,dt,defensive,1.968503937007874,0.0,0.0,0.0,1.968503937007874,1,127.0,127.0
242,Temple #2,2017-11-22,def tackle,dt,defensive,0.984251968503937,0.0,0.0,0.0,0.984251968503937,1,127.0,127.0
251,Temple #3,2017-11-23,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,122.0,122.0
260,Toledo #1,2017-09-12,def tackle,dt,defensive,3.937007874015748,3.937007874015748,0.0,0.0,7.874015748031496,2,127.0,254.0
270,Toledo #2,2017-09-13,def tackle,dt,defensive,2.7777777777777777,0.0,0.0,0.0,2.7777777777777777,2,135.0,270.0
280,Toledo #3,2017-09-14,def tackle,dt,defensive,2.840909090909091,2.840909090909091,0.0,0.0,5.681818181818182,1,132.0,132.0
290,Tulane #1,2017-10-03,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,1,127.0,127.0
300,fall camp practice #1,2017-07-31,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,2,120.0,240.0
308,fall camp practice #10,2017-08-11,def tackle,dt,defensive,1.3786764705882353,0.0,0.0,0.0,1.3786764705882353,2,136.0,272.0
318,fall camp practice #11,2017-08-12,def tackle,dt,defensive,0.8561643835616438,0.0,0.0,0.0,0.8561643835616438,2,146.0,292.0
327,fall camp practice #12,2017-08-13,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,2,136.0,272.0
343,fall camp practice #14,2017-08-16,def tackle,dt,defensive,0.45955882352941174,0.9191176470588235,0.0,0.0,1.3786764705882353,2,136.0,272.0
355,fall camp practice #2,2017-08-01,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,2,120.0,240.0
363,fall camp practice #3,2017-08-02,def tackle,dt,defensive,0.45955882352941174,0.0,0.0,0.0,0.45955882352941174,2,136.0,272.0
372,fall camp practice #4,2017-08-03,def tackle,dt,defensive,3.676470588235294,1.3786764705882353,0.0,0.0,5.055147058823529,2,136.0,272.0
381,fall camp practice #5,2017-08-04,def tackle,dt,defensive,1.3786764705882353,0.45955882352941174,0.0,0.0,1.838235294117647,2,136.0,272.0
391,fall camp practice #6,2017-08-06,def tackle,dt,defensive,0.9191176470588235,0.45955882352941174,0.0,0.0,1.3786764705882353,2,136.0,272.0
401,fall camp practice #7,2017-08-07,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,2,136.0,272.0
410,fall camp practice #8,2017-08-08,def tackle,dt,defensive,0.45955882352941174,0.0,0.0,0.0,0.45955882352941174,2,136.0,272.0
419,fall camp scrimmage #1,2017-08-09,def tackle,dt,defensive,0.0,0.0,0.0,0.0,0.0,2,160.0,320.0
427,fall camp scrimmage #2,2017-08-18,def tackle,dt,defensive,2.6223776223776225,0.0,0.0,0.0,2.6223776223776225,2,143.0,286.0
