,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
3,Bye #1,2017-11-07,linebacker,lb,defensive,1.6233766233766234,0.8116883116883117,0.0,0.0,2.435064935064935,2,77.0,154.0
8,Conneticut #1,2017-10-17,linebacker,lb,defensive,3.937007874015748,3.937007874015748,0.0,0.0,7.874015748031496,1,127.0,127.0
16,Conneticut #2,2017-10-18,linebacker,lb,defensive,3.937007874015748,0.0,0.0,0.0,3.937007874015748,1,127.0,127.0
23,Conneticut #3,2017-10-19,linebacker,lb,defensive,1.0245901639344261,0.0,0.0,0.0,1.0245901639344261,2,122.0,244.0
31,Houston #1,2017-10-10,linebacker,lb,defensive,2.4606299212598426,0.984251968503937,0.0,0.0,3.4448818897637796,2,127.0,254.0
38,Houston #2,2017-10-11,linebacker,lb,defensive,1.4763779527559056,1.4763779527559056,0.0,0.0,2.952755905511811,2,127.0,254.0
45,Houston #3,2017-10-12,linebacker,lb,defensive,0.5122950819672131,0.0,0.0,0.0,0.5122950819672131,2,122.0,244.0
50,Louisiana #1,2017-09-05,linebacker,lb,defensive,2.4606299212598426,1.968503937007874,0.0,0.4921259842519685,4.429133858267717,2,127.0,254.0
60,Louisiana #2,2017-09-06,linebacker,lb,defensive,5.092592592592593,0.9259259259259259,0.9259259259259259,0.46296296296296297,6.944444444444444,2,135.0,270.0
70,Louisiana #3,2017-09-07,linebacker,lb,defensive,0.5122950819672131,0.0,0.0,0.0,0.5122950819672131,2,122.0,244.0
80,Memphis #1,2017-10-31,linebacker,lb,defensive,1.5495867768595042,1.0330578512396693,0.0,0.0,2.5826446280991737,2,121.0,242.0
89,Memphis #2,2017-11-01,linebacker,lb,defensive,1.7045454545454546,0.0,0.0,0.0,1.7045454545454546,2,110.0,220.0
95,Navy #1,2017-09-26,linebacker,lb,defensive,0.5208333333333334,0.0,0.0,0.0,0.5208333333333334,2,120.0,240.0
103,Navy #2,2017-09-27,linebacker,lb,defensive,1.4763779527559056,0.4921259842519685,0.0,0.0,1.968503937007874,2,127.0,254.0
110,Navy #3,2017-09-28,linebacker,lb,defensive,2.0491803278688523,0.5122950819672131,0.0,0.5122950819672131,2.5614754098360653,2,122.0,244.0
119,New Mexico #1,2017-09-19,linebacker,lb,defensive,0.0,0.984251968503937,0.984251968503937,0.0,1.968503937007874,2,127.0,254.0
125,New Mexico #2,2017-09-20,linebacker,lb,defensive,1.968503937007874,0.984251968503937,0.0,0.0,2.952755905511811,2,127.0,254.0
131,New Mexico #3,2017-09-21,linebacker,lb,defensive,0.0,0.0,0.0,0.0,0.0,2,122.0,244.0
137,Oklahoma State #1,2017-08-20,linebacker,lb,defensive,1.0593220338983051,0.5296610169491526,0.5296610169491526,0.0,2.1186440677966103,2,118.0,236.0
144,Oklahoma State #2,2017-08-22,linebacker,lb,defensive,1.5,1.0,0.0,0.0,2.5,2,125.0,250.0
153,Oklahoma State #3,2017-08-23,linebacker,lb,defensive,0.4699248120300752,0.4699248120300752,0.0,0.0,0.9398496240601504,2,133.0,266.0
162,Oklahoma State #5,2017-08-25,linebacker,lb,defensive,1.5,0.0,0.5,0.0,2.0,2,125.0,250.0
168,Oklahoma State #6,2017-08-26,linebacker,lb,defensive,1.4097744360902256,0.0,0.0,0.0,1.4097744360902256,2,133.0,266.0
175,Oklahoma State #7,2017-08-27,linebacker,lb,defensive,1.358695652173913,0.0,0.0,0.0,1.358695652173913,2,92.0,184.0
185,Oklahoma State Scrim,2017-08-24,linebacker,lb,defensive,1.4204545454545454,0.7102272727272727,0.0,0.0,2.1306818181818183,2,88.0,176.0
194,S Florida #1,2017-11-08,linebacker,lb,defensive,0.573394495412844,0.0,0.0,0.0,0.573394495412844,2,109.0,218.0
201,S Florida #2,2017-11-09,linebacker,lb,defensive,0.0,0.6188118811881188,0.0,0.0,0.6188118811881188,2,101.0,202.0
208,S Florida #3,2017-11-12,linebacker,lb,defensive,0.5580357142857143,0.0,0.0,0.0,0.5580357142857143,2,112.0,224.0
212,S Florida #4,2017-11-14,linebacker,lb,defensive,0.5580357142857143,0.0,0.0,0.0,0.5580357142857143,2,112.0,224.0
216,S Methodist #1,2017-10-24,linebacker,lb,defensive,0.4770992366412214,0.0,0.0,0.0,0.4770992366412214,2,131.0,262.0
225,S Methodist #2,2017-10-25,linebacker,lb,defensive,3.0637254901960786,0.0,0.0,0.0,3.0637254901960786,2,102.0,204.0
234,Temple #1,2017-11-21,linebacker,lb,defensive,2.4606299212598426,0.4921259842519685,0.0,0.0,2.952755905511811,2,127.0,254.0
243,Temple #2,2017-11-22,linebacker,lb,defensive,1.968503937007874,0.984251968503937,0.0,0.0,2.952755905511811,2,127.0,254.0
252,Temple #3,2017-11-23,linebacker,lb,defensive,0.5122950819672131,0.0,0.0,0.0,0.5122950819672131,2,122.0,244.0
261,Toledo #1,2017-09-12,linebacker,lb,defensive,3.937007874015748,0.984251968503937,0.0,0.0,4.921259842519685,1,127.0,127.0
271,Toledo #2,2017-09-13,linebacker,lb,defensive,2.7777777777777777,1.3888888888888888,0.9259259259259259,0.0,5.092592592592592,2,135.0,270.0
281,Toledo #3,2017-09-14,linebacker,lb,defensive,0.0,0.0,0.0,0.0,0.0,2,132.0,264.0
291,Tulane #1,2017-10-03,linebacker,lb,defensive,1.4763779527559056,0.0,0.0,0.0,1.4763779527559056,2,127.0,254.0
298,Tulane #2,2017-10-05,linebacker,lb,defensive,1.0245901639344261,0.0,0.0,0.0,1.0245901639344261,1,122.0,122.0
301,fall camp practice #1,2017-07-31,linebacker,lb,defensive,0.0,0.0,0.0,0.0,0.0,2,120.0,240.0
