,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
4,Bye #1,2017-11-07,off guard,og,offensive,0.8116883116883117,0.0,0.0,0.0,0.8116883116883117,2,77.0,154.0
51,Louisiana #1,2017-09-05,off guard,og,offensive,4.8076923076923075,1.0683760683760684,1.0683760683760684,0.5341880341880342,6.944444444444444,2,117.0,234.0
61,Louisiana #2,2017-09-06,off guard,og,offensive,3.0,1.0,0.5,0.0,4.5,2,125.0,250.0
71,Louisiana #3,2017-09-07,off guard,og,offensive,1.1160714285714286,0.5580357142857143,0.0,0.0,1.6741071428571428,2,112.0,224.0
81,Memphis #1,2017-10-31,off guard,og,offensive,1.0330578512396693,0.0,0.0,0.0,1.0330578512396693,2,121.0,242.0
90,Memphis #2,2017-11-01,off guard,og,offensive,0.0,0.0,0.0,0.0,0.0,2,102.0,204.0
96,Navy #1,2017-09-26,off guard,og,offensive,0.0,0.0,0.0,0.0,0.0,1,117.0,117.0
111,Navy #3,2017-09-28,off guard,og,offensive,3.3482142857142856,0.0,0.0,0.0,3.3482142857142856,2,112.0,224.0
126,New Mexico #2,2017-09-20,off guard,og,offensive,0.0,0.0,0.0,0.0,0.0,2,117.0,234.0
132,New Mexico #3,2017-09-21,off guard,og,offensive,0.0,0.0,0.0,0.0,0.0,2,112.0,224.0
138,Oklahoma State #1,2017-08-20,off guard,og,offensive,0.5434782608695652,1.0869565217391304,0.0,0.0,1.6304347826086956,2,115.0,230.0
145,Oklahoma State #2,2017-08-22,off guard,og,offensive,1.6304347826086956,0.5434782608695652,0.0,0.0,2.1739130434782608,2,115.0,230.0
154,Oklahoma State #3,2017-08-23,off guard,og,offensive,3.5569105691056913,0.0,0.0,0.0,3.5569105691056913,2,123.0,246.0
163,Oklahoma State #5,2017-08-25,off guard,og,offensive,1.6304347826086956,0.0,0.0,0.0,1.6304347826086956,2,115.0,230.0
169,Oklahoma State #6,2017-08-26,off guard,og,offensive,1.524390243902439,0.0,0.0,0.0,1.524390243902439,2,123.0,246.0
