,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
9,Conneticut #1,2017-10-17,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,1,117.0,117.0
17,Conneticut #2,2017-10-18,off tackle,ot,offensive,0.0,1.0,0.0,0.0,1.0,1,125.0,125.0
24,Conneticut #3,2017-10-19,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,1,112.0,112.0
32,Houston #1,2017-10-10,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,117.0,234.0
39,Houston #2,2017-10-11,off tackle,ot,offensive,1.5,0.0,0.0,0.0,1.5,2,125.0,250.0
52,Louisiana #1,2017-09-05,off tackle,ot,offensive,1.6025641025641026,0.5341880341880342,0.0,0.0,2.1367521367521367,2,117.0,234.0
62,Louisiana #2,2017-09-06,off tackle,ot,offensive,2.0,0.5,0.0,0.0,2.5,2,125.0,250.0
72,Louisiana #3,2017-09-07,off tackle,ot,offensive,0.5580357142857143,0.0,0.0,0.0,0.5580357142857143,2,112.0,224.0
82,Memphis #1,2017-10-31,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,1,121.0,121.0
97,Navy #1,2017-09-26,off tackle,ot,offensive,0.0,0.5341880341880342,0.0,0.0,0.5341880341880342,2,117.0,234.0
104,Navy #2,2017-09-27,off tackle,ot,offensive,1.0683760683760684,0.0,0.0,0.0,1.0683760683760684,2,117.0,234.0
112,Navy #3,2017-09-28,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,112.0,224.0
120,New Mexico #1,2017-09-19,off tackle,ot,offensive,2.1367521367521367,0.5341880341880342,0.0,0.0,2.6709401709401708,2,117.0,234.0
127,New Mexico #2,2017-09-20,off tackle,ot,offensive,3.2051282051282053,0.0,0.5341880341880342,0.0,3.7393162393162394,2,117.0,234.0
139,Oklahoma State #1,2017-08-20,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,115.0,230.0
146,Oklahoma State #2,2017-08-22,off tackle,ot,offensive,0.5434782608695652,0.0,0.0,0.0,0.5434782608695652,2,115.0,230.0
155,Oklahoma State #3,2017-08-23,off tackle,ot,offensive,2.032520325203252,0.508130081300813,0.0,0.0,2.5406504065040654,2,123.0,246.0
164,Oklahoma State #5,2017-08-25,off tackle,ot,offensive,0.5434782608695652,0.0,0.0,0.0,0.5434782608695652,2,115.0,230.0
170,Oklahoma State #6,2017-08-26,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,123.0,246.0
177,Oklahoma State #7,2017-08-27,off tackle,ot,offensive,2.0380434782608696,0.0,0.0,0.0,2.0380434782608696,2,92.0,184.0
187,Oklahoma State Scrim,2017-08-24,off tackle,ot,offensive,0.7102272727272727,0.0,0.0,0.0,0.7102272727272727,2,88.0,176.0
209,S Florida #3,2017-11-12,off tackle,ot,offensive,0.6793478260869565,0.0,0.0,0.0,0.6793478260869565,2,92.0,184.0
218,S Methodist #1,2017-10-24,off tackle,ot,offensive,1.0330578512396693,0.0,0.0,0.0,1.0330578512396693,1,121.0,121.0
227,S Methodist #2,2017-10-25,off tackle,ot,offensive,1.2254901960784315,0.0,0.0,0.0,1.2254901960784315,1,102.0,102.0
236,Temple #1,2017-11-21,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,117.0,234.0
245,Temple #2,2017-11-22,off tackle,ot,offensive,1.5,0.5,0.5,0.0,2.5,2,125.0,250.0
254,Temple #3,2017-11-23,off tackle,ot,offensive,0.5580357142857143,0.0,0.0,0.0,0.5580357142857143,2,112.0,224.0
263,Toledo #1,2017-09-12,off tackle,ot,offensive,0.0,0.5341880341880342,0.0,0.0,0.5341880341880342,2,117.0,234.0
273,Toledo #2,2017-09-13,off tackle,ot,offensive,1.5,0.0,0.0,0.0,1.5,2,125.0,250.0
283,Toledo #3,2017-09-14,off tackle,ot,offensive,0.4734848484848485,0.0,0.0,0.0,0.4734848484848485,2,132.0,264.0
292,Tulane #1,2017-10-03,off tackle,ot,offensive,0.0,0.5341880341880342,0.0,0.0,0.5341880341880342,2,117.0,234.0
303,fall camp practice #1,2017-07-31,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,110.0,220.0
311,fall camp practice #10,2017-08-11,off tackle,ot,offensive,0.9920634920634921,0.49603174603174605,0.0,0.0,1.4880952380952381,2,126.0,252.0
321,fall camp practice #11,2017-08-12,off tackle,ot,offensive,1.4880952380952381,0.9920634920634921,0.0,0.0,2.4801587301587302,2,126.0,252.0
330,fall camp practice #12,2017-08-13,off tackle,ot,offensive,1.4880952380952381,0.49603174603174605,0.0,0.0,1.9841269841269842,2,126.0,252.0
338,fall camp practice #13,2017-08-14,off tackle,ot,offensive,1.4880952380952381,0.0,0.0,0.0,1.4880952380952381,2,126.0,252.0
346,fall camp practice #14,2017-08-16,off tackle,ot,offensive,0.9920634920634921,0.0,0.0,0.0,0.9920634920634921,2,126.0,252.0
358,fall camp practice #2,2017-08-01,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,107.0,214.0
366,fall camp practice #3,2017-08-02,off tackle,ot,offensive,1.9841269841269842,0.0,0.0,0.0,1.9841269841269842,2,126.0,252.0
375,fall camp practice #4,2017-08-03,off tackle,ot,offensive,1.9841269841269842,0.9920634920634921,0.0,0.0,2.9761904761904763,2,126.0,252.0
384,fall camp practice #5,2017-08-04,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,2,126.0,252.0
394,fall camp practice #6,2017-08-06,off tackle,ot,offensive,3.4722222222222223,0.0,0.0,0.0,3.4722222222222223,2,126.0,252.0
404,fall camp practice #7,2017-08-07,off tackle,ot,offensive,2.4801587301587302,0.0,0.0,0.0,2.4801587301587302,2,126.0,252.0
413,fall camp practice #8,2017-08-08,off tackle,ot,offensive,0.9920634920634921,0.0,0.0,0.0,0.9920634920634921,2,126.0,252.0
422,fall camp scrimmage #1,2017-08-09,off tackle,ot,offensive,0.0,0.0,0.0,0.0,0.0,1,160.0,160.0
430,fall camp scrimmage #2,2017-08-18,off tackle,ot,offensive,1.4097744360902256,0.0,0.0,0.0,1.4097744360902256,2,133.0,266.0
