,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
10,Conneticut #1,2017-10-17,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,1,117.0,117.0
25,Conneticut #3,2017-10-19,running back,qbrb,offensive,1.1160714285714286,0.0,0.0,0.0,1.1160714285714286,1,112.0,112.0
33,Houston #1,2017-10-10,running back,qbrb,offensive,1.0683760683760684,0.0,0.0,0.0,1.0683760683760684,1,117.0,117.0
40,Houston #2,2017-10-11,running back,qbrb,offensive,1.0,1.0,0.0,0.0,2.0,1,125.0,125.0
46,Houston #3,2017-10-12,running back,qbrb,offensive,1.1160714285714286,0.0,0.0,0.0,1.1160714285714286,1,112.0,112.0
53,Louisiana #1,2017-09-05,running back,qbrb,offensive,1.6025641025641026,0.5341880341880342,0.0,0.0,2.1367521367521367,2,117.0,234.0
63,Louisiana #2,2017-09-06,running back,qbrb,offensive,0.5,0.5,0.0,0.0,1.0,2,125.0,250.0
73,Louisiana #3,2017-09-07,running back,qbrb,offensive,1.6741071428571428,0.5580357142857143,0.0,0.0,2.232142857142857,2,112.0,224.0
83,Memphis #1,2017-10-31,running back,qbrb,offensive,0.0,1.0330578512396693,0.0,0.0,1.0330578512396693,1,121.0,121.0
98,Navy #1,2017-09-26,running back,qbrb,offensive,0.0,2.1367521367521367,0.0,0.0,2.1367521367521367,1,117.0,117.0
105,Navy #2,2017-09-27,running back,qbrb,offensive,1.0683760683760684,1.0683760683760684,0.0,0.0,2.1367521367521367,1,117.0,117.0
121,New Mexico #1,2017-09-19,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,1,117.0,117.0
147,Oklahoma State #2,2017-08-22,running back,qbrb,offensive,0.0,0.0,0.5434782608695652,0.0,0.5434782608695652,2,115.0,230.0
156,Oklahoma State #3,2017-08-23,running back,qbrb,offensive,1.016260162601626,0.508130081300813,1.016260162601626,0.0,2.5406504065040654,2,123.0,246.0
171,Oklahoma State #6,2017-08-26,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,2,123.0,246.0
178,Oklahoma State #7,2017-08-27,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,2,92.0,184.0
188,Oklahoma State Scrim,2017-08-24,running back,qbrb,offensive,0.7102272727272727,0.0,0.0,0.0,0.7102272727272727,2,88.0,176.0
219,S Methodist #1,2017-10-24,running back,qbrb,offensive,11.363636363636363,0.0,0.0,0.0,11.363636363636363,1,121.0,121.0
228,S Methodist #2,2017-10-25,running back,qbrb,offensive,0.0,0.0,1.2254901960784315,0.0,1.2254901960784315,1,102.0,102.0
237,Temple #1,2017-11-21,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,1,117.0,117.0
246,Temple #2,2017-11-22,running back,qbrb,offensive,2.0,1.0,0.0,0.0,3.0,1,125.0,125.0
255,Temple #3,2017-11-23,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,1,112.0,112.0
264,Toledo #1,2017-09-12,running back,qbrb,offensive,1.0683760683760684,2.1367521367521367,0.0,0.0,3.2051282051282053,1,117.0,117.0
274,Toledo #2,2017-09-13,running back,qbrb,offensive,1.0,1.0,0.0,0.0,2.0,1,125.0,125.0
284,Toledo #3,2017-09-14,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,1,132.0,132.0
293,Tulane #1,2017-10-03,running back,qbrb,offensive,0.0,0.0,0.0,0.0,0.0,1,117.0,117.0
312,fall camp practice #10,2017-08-11,running back,qbrb,offensive,0.49603174603174605,0.49603174603174605,0.49603174603174605,0.0,1.4880952380952381,2,126.0,252.0
322,fall camp practice #11,2017-08-12,running back,qbrb,offensive,0.49603174603174605,0.49603174603174605,0.0,0.0,0.9920634920634921,2,126.0,252.0
331,fall camp practice #12,2017-08-13,running back,qbrb,offensive,0.0,1.9841269841269842,0.0,0.0,1.9841269841269842,1,126.0,126.0
339,fall camp practice #13,2017-08-14,running back,qbrb,offensive,2.9761904761904763,1.9841269841269842,0.0,0.0,4.9603174603174605,1,126.0,126.0
347,fall camp practice #14,2017-08-16,running back,qbrb,offensive,2.9761904761904763,1.4880952380952381,0.0,0.0,4.464285714285714,2,126.0,252.0
367,fall camp practice #3,2017-08-02,running back,qbrb,offensive,2.4801587301587302,0.9920634920634921,0.0,0.49603174603174605,3.4722222222222223,2,126.0,252.0
376,fall camp practice #4,2017-08-03,running back,qbrb,offensive,2.4801587301587302,2.9761904761904763,0.9920634920634921,0.0,6.448412698412699,2,126.0,252.0
385,fall camp practice #5,2017-08-04,running back,qbrb,offensive,1.4880952380952381,1.4880952380952381,0.0,0.0,2.9761904761904763,2,126.0,252.0
395,fall camp practice #6,2017-08-06,running back,qbrb,offensive,2.4801587301587302,0.0,0.0,0.0,2.4801587301587302,2,126.0,252.0
405,fall camp practice #7,2017-08-07,running back,qbrb,offensive,0.49603174603174605,0.0,0.0,0.0,0.49603174603174605,2,126.0,252.0
414,fall camp practice #8,2017-08-08,running back,qbrb,offensive,1.9841269841269842,0.49603174603174605,0.0,0.0,2.4801587301587302,2,126.0,252.0
423,fall camp scrimmage #1,2017-08-09,running back,qbrb,offensive,1.5625,0.78125,0.390625,0.0,2.734375,2,160.0,320.0
431,fall camp scrimmage #2,2017-08-18,running back,qbrb,offensive,0.4699248120300752,0.9398496240601504,0.0,0.0,1.4097744360902256,2,133.0,266.0
