,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
54,Louisiana #1,2017-09-05,safety,safety,defensive,0.4921259842519685,0.4921259842519685,0.0,0.0,0.984251968503937,2,127.0,254.0
64,Louisiana #2,2017-09-06,safety,safety,defensive,0.46296296296296297,0.46296296296296297,0.0,0.0,0.9259259259259259,2,135.0,270.0
74,Louisiana #3,2017-09-07,safety,safety,defensive,2.5614754098360657,0.5122950819672131,0.0,0.0,3.0737704918032787,2,122.0,244.0
106,Navy #2,2017-09-27,safety,safety,defensive,0.984251968503937,0.984251968503937,0.0,0.0,1.968503937007874,1,127.0,127.0
113,Navy #3,2017-09-28,safety,safety,defensive,4.098360655737705,0.0,0.0,0.0,4.098360655737705,1,122.0,122.0
128,New Mexico #2,2017-09-20,safety,safety,defensive,0.0,0.0,0.0,0.0,0.0,1,127.0,127.0
133,New Mexico #3,2017-09-21,safety,safety,defensive,0.0,0.0,0.0,0.0,0.0,1,122.0,122.0
148,Oklahoma State #2,2017-08-22,safety,safety,defensive,0.5,0.0,0.0,0.0,0.5,2,125.0,250.0
157,Oklahoma State #3,2017-08-23,safety,safety,defensive,0.4699248120300752,0.0,0.0,0.0,0.4699248120300752,2,133.0,266.0
179,Oklahoma State #7,2017-08-27,safety,safety,defensive,0.6793478260869565,0.0,0.0,0.0,0.6793478260869565,2,92.0,184.0
265,Toledo #1,2017-09-12,safety,safety,defensive,1.968503937007874,1.4763779527559056,1.4763779527559056,0.0,4.921259842519685,2,127.0,254.0
275,Toledo #2,2017-09-13,safety,safety,defensive,1.3888888888888888,0.0,0.0,0.0,1.3888888888888888,2,135.0,270.0
285,Toledo #3,2017-09-14,safety,safety,defensive,0.946969696969697,0.0,0.0,0.0,0.946969696969697,2,132.0,264.0
294,Tulane #1,2017-10-03,safety,safety,defensive,0.984251968503937,0.0,0.0,0.0,0.984251968503937,1,127.0,127.0
313,fall camp practice #10,2017-08-11,safety,safety,defensive,0.45955882352941174,1.3786764705882353,0.0,0.0,1.838235294117647,2,136.0,272.0
323,fall camp practice #11,2017-08-12,safety,safety,defensive,0.4280821917808219,0.4280821917808219,0.0,0.0,0.8561643835616438,2,146.0,292.0
332,fall camp practice #12,2017-08-13,safety,safety,defensive,0.0,0.0,0.0,0.0,0.0,2,136.0,272.0
340,fall camp practice #13,2017-08-14,safety,safety,defensive,0.0,0.9191176470588235,0.0,0.0,0.9191176470588235,2,136.0,272.0
348,fall camp practice #14,2017-08-16,safety,safety,defensive,0.9191176470588235,0.0,0.0,0.0,0.9191176470588235,2,136.0,272.0
352,fall camp practice #17,2017-08-19,safety,safety,defensive,0.0,0.0,0.0,0.0,0.0,2,72.0,144.0
368,fall camp practice #3,2017-08-02,safety,safety,defensive,0.45955882352941174,0.9191176470588235,0.0,0.45955882352941174,1.3786764705882353,2,136.0,272.0
377,fall camp practice #4,2017-08-03,safety,safety,defensive,1.838235294117647,0.9191176470588235,0.45955882352941174,0.0,3.2169117647058822,2,136.0,272.0
386,fall camp practice #5,2017-08-04,safety,safety,defensive,0.45955882352941174,1.3786764705882353,0.0,0.0,1.838235294117647,2,136.0,272.0
396,fall camp practice #6,2017-08-06,safety,safety,defensive,0.9191176470588235,0.0,0.0,0.0,0.9191176470588235,2,136.0,272.0
406,fall camp practice #7,2017-08-07,safety,safety,defensive,0.0,0.45955882352941174,0.0,0.45955882352941174,0.45955882352941174,2,136.0,272.0
415,fall camp practice #8,2017-08-08,safety,safety,defensive,0.45955882352941174,0.9191176470588235,0.0,0.0,1.3786764705882353,2,136.0,272.0
424,fall camp scrimmage #1,2017-08-09,safety,safety,defensive,0.0,0.390625,0.390625,0.0,0.78125,2,160.0,320.0
432,fall camp scrimmage #2,2017-08-18,safety,safety,defensive,1.3111888111888113,1.3111888111888113,0.4370629370629371,0.0,3.0594405594405596,2,143.0,286.0
