,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
5,Bye #1,2017-11-07,tight end,te,offensive,1.6233766233766234,3.2467532467532467,1.6233766233766234,0.0,6.4935064935064934,2,77.0,154.0
11,Conneticut #1,2017-10-17,tight end,te,offensive,5.3418803418803416,3.2051282051282053,1.0683760683760684,0.0,9.615384615384615,2,117.0,234.0
18,Conneticut #2,2017-10-18,tight end,te,offensive,2.5,0.0,0.0,1.5,2.5,2,125.0,250.0
26,Conneticut #3,2017-10-19,tight end,te,offensive,0.5580357142857143,0.0,0.0,0.0,0.5580357142857143,2,112.0,224.0
34,Houston #1,2017-10-10,tight end,te,offensive,2.1367521367521367,3.2051282051282053,0.0,0.0,5.341880341880342,2,117.0,234.0
41,Houston #2,2017-10-11,tight end,te,offensive,6.0,1.5,1.5,0.0,9.0,2,125.0,250.0
55,Louisiana #1,2017-09-05,tight end,te,offensive,4.8076923076923075,4.273504273504273,1.0683760683760684,1.0683760683760684,10.149572649572649,2,117.0,234.0
65,Louisiana #2,2017-09-06,tight end,te,offensive,2.5,10.5,1.0,1.0,14.0,2,125.0,250.0
75,Louisiana #3,2017-09-07,tight end,te,offensive,0.5580357142857143,0.0,0.0,0.0,0.5580357142857143,2,112.0,224.0
84,Memphis #1,2017-10-31,tight end,te,offensive,3.615702479338843,2.5826446280991737,1.0330578512396693,0.5165289256198347,7.231404958677686,2,121.0,242.0
91,Memphis #2,2017-11-01,tight end,te,offensive,4.901960784313726,5.514705882352941,1.2254901960784315,0.6127450980392157,11.6421568627451,2,102.0,204.0
99,Navy #1,2017-09-26,tight end,te,offensive,3.2051282051282053,3.2051282051282053,1.0683760683760684,0.5341880341880342,7.478632478632479,2,117.0,234.0
107,Navy #2,2017-09-27,tight end,te,offensive,6.410256410256411,1.0683760683760684,0.0,0.5341880341880342,7.478632478632479,2,117.0,234.0
114,Navy #3,2017-09-28,tight end,te,offensive,1.1160714285714286,1.1160714285714286,0.0,0.0,2.232142857142857,2,112.0,224.0
122,New Mexico #1,2017-09-19,tight end,te,offensive,1.6025641025641026,1.0683760683760684,0.5341880341880342,0.0,3.2051282051282053,2,117.0,234.0
129,New Mexico #2,2017-09-20,tight end,te,offensive,3.7393162393162394,0.5341880341880342,0.0,0.0,4.273504273504273,2,117.0,234.0
134,New Mexico #3,2017-09-21,tight end,te,offensive,0.0,0.0,0.0,0.0,0.0,2,112.0,224.0
140,Oklahoma State #1,2017-08-20,tight end,te,offensive,3.8043478260869565,3.8043478260869565,0.5434782608695652,0.5434782608695652,8.152173913043478,2,115.0,230.0
149,Oklahoma State #2,2017-08-22,tight end,te,offensive,2.1739130434782608,1.6304347826086956,1.6304347826086956,0.0,5.434782608695651,2,115.0,230.0
158,Oklahoma State #3,2017-08-23,tight end,te,offensive,3.5569105691056913,1.524390243902439,1.524390243902439,0.508130081300813,6.60569105691057,2,123.0,246.0
165,Oklahoma State #5,2017-08-25,tight end,te,offensive,2.1739130434782608,1.0869565217391304,0.0,0.0,3.260869565217391,1,115.0,115.0
172,Oklahoma State #6,2017-08-26,tight end,te,offensive,3.048780487804878,1.016260162601626,1.016260162601626,0.0,5.081300813008131,1,123.0,123.0
180,Oklahoma State #7,2017-08-27,tight end,te,offensive,0.6793478260869565,0.6793478260869565,0.0,0.0,1.358695652173913,2,92.0,184.0
189,Oklahoma State Scrim,2017-08-24,tight end,te,offensive,0.7102272727272727,0.0,0.0,0.0,0.7102272727272727,2,88.0,176.0
196,S Florida #1,2017-11-08,tight end,te,offensive,3.2051282051282053,3.7393162393162394,1.6025641025641026,0.0,8.547008547008547,2,117.0,234.0
203,S Florida #2,2017-11-09,tight end,te,offensive,3.094059405940594,3.094059405940594,2.4752475247524752,0.0,8.663366336633663,2,101.0,202.0
210,S Florida #3,2017-11-12,tight end,te,offensive,2.717391304347826,2.0380434782608696,1.358695652173913,0.6793478260869565,6.114130434782608,2,92.0,184.0
220,S Methodist #1,2017-10-24,tight end,te,offensive,5.1652892561983474,6.198347107438017,2.0661157024793386,2.0661157024793386,13.429752066115702,2,121.0,242.0
229,S Methodist #2,2017-10-25,tight end,te,offensive,2.450980392156863,3.0637254901960786,3.0637254901960786,0.6127450980392157,8.578431372549021,2,102.0,204.0
238,Temple #1,2017-11-21,tight end,te,offensive,2.6709401709401708,4.273504273504273,1.0683760683760684,0.5341880341880342,8.012820512820513,2,117.0,234.0
247,Temple #2,2017-11-22,tight end,te,offensive,4.5,3.0,1.0,0.0,8.5,2,125.0,250.0
256,Temple #3,2017-11-23,tight end,te,offensive,1.6741071428571428,0.0,0.0,0.0,1.6741071428571428,2,112.0,224.0
266,Toledo #1,2017-09-12,tight end,te,offensive,12.820512820512821,8.547008547008547,3.2051282051282053,1.0683760683760684,24.572649572649574,1,117.0,117.0
276,Toledo #2,2017-09-13,tight end,te,offensive,3.5,3.0,2.5,1.5,9.0,2,125.0,250.0
286,Toledo #3,2017-09-14,tight end,te,offensive,0.0,0.0,0.0,0.0,0.0,2,132.0,264.0
295,Tulane #1,2017-10-03,tight end,te,offensive,1.0683760683760684,4.273504273504273,0.5341880341880342,1.0683760683760684,5.876068376068376,2,117.0,234.0
299,Tulane #2,2017-10-05,tight end,te,offensive,1.1160714285714286,1.1160714285714286,0.0,0.5580357142857143,2.232142857142857,2,112.0,224.0
304,fall camp practice #1,2017-07-31,tight end,te,offensive,0.0,0.0,0.0,0.0,0.0,2,110.0,220.0
314,fall camp practice #10,2017-08-11,tight end,te,offensive,2.4801587301587302,3.9682539682539684,0.49603174603174605,0.49603174603174605,6.944444444444445,2,126.0,252.0
324,fall camp practice #11,2017-08-12,tight end,te,offensive,4.9603174603174605,2.9761904761904763,0.9920634920634921,0.49603174603174605,8.928571428571429,2,126.0,252.0
333,fall camp practice #12,2017-08-13,tight end,te,offensive,4.464285714285714,1.9841269841269842,0.49603174603174605,0.0,6.944444444444445,2,126.0,252.0
341,fall camp practice #13,2017-08-14,tight end,te,offensive,4.464285714285714,1.4880952380952381,0.49603174603174605,0.0,6.448412698412699,2,126.0,252.0
