,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
12,Conneticut #1,2017-10-17,wide receiver,wr,offensive,0.5341880341880342,0.0,0.0,0.0,0.5341880341880342,2,117.0,234.0
19,Conneticut #2,2017-10-18,wide receiver,wr,offensive,0.5,0.0,0.0,0.0,0.5,2,125.0,250.0
27,Conneticut #3,2017-10-19,wide receiver,wr,offensive,0.5580357142857143,0.0,0.0,0.0,0.5580357142857143,2,112.0,224.0
35,Houston #1,2017-10-10,wide receiver,wr,offensive,0.5341880341880342,0.5341880341880342,0.0,0.0,1.0683760683760684,2,117.0,234.0
56,Louisiana #1,2017-09-05,wide receiver,wr,offensive,1.6025641025641026,1.0683760683760684,0.0,0.5341880341880342,2.670940170940171,2,117.0,234.0
66,Louisiana #2,2017-09-06,wide receiver,wr,offensive,1.0,0.5,0.0,0.0,1.5,2,125.0,250.0
76,Louisiana #3,2017-09-07,wide receiver,wr,offensive,3.90625,0.5580357142857143,0.0,0.0,4.464285714285714,2,112.0,224.0
85,Memphis #1,2017-10-31,wide receiver,wr,offensive,1.0330578512396693,0.0,0.0,0.0,1.0330578512396693,2,121.0,242.0
115,Navy #3,2017-09-28,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,112.0,224.0
141,Oklahoma State #1,2017-08-20,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,115.0,230.0
181,Oklahoma State #7,2017-08-27,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,92.0,184.0
190,Oklahoma State Scrim,2017-08-24,wide receiver,wr,offensive,0.0,0.7102272727272727,0.0,0.0,0.7102272727272727,2,88.0,176.0
197,S Florida #1,2017-11-08,wide receiver,wr,offensive,1.0683760683760684,0.5341880341880342,0.0,0.0,1.6025641025641026,2,117.0,234.0
204,S Florida #2,2017-11-09,wide receiver,wr,offensive,1.2376237623762376,0.0,0.0,0.0,1.2376237623762376,2,101.0,202.0
221,S Methodist #1,2017-10-24,wide receiver,wr,offensive,0.5165289256198347,1.0330578512396693,1.0330578512396693,0.0,2.5826446280991733,2,121.0,242.0
230,S Methodist #2,2017-10-25,wide receiver,wr,offensive,1.2254901960784315,0.0,0.0,0.6127450980392157,1.2254901960784315,2,102.0,204.0
239,Temple #1,2017-11-21,wide receiver,wr,offensive,1.0683760683760684,0.5341880341880342,0.0,0.0,1.6025641025641026,2,117.0,234.0
248,Temple #2,2017-11-22,wide receiver,wr,offensive,2.5,0.0,0.0,0.0,2.5,2,125.0,250.0
257,Temple #3,2017-11-23,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,112.0,224.0
267,Toledo #1,2017-09-12,wide receiver,wr,offensive,1.0683760683760684,0.5341880341880342,0.0,0.0,1.6025641025641026,2,117.0,234.0
277,Toledo #2,2017-09-13,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,125.0,250.0
287,Toledo #3,2017-09-14,wide receiver,wr,offensive,2.840909090909091,0.0,0.4734848484848485,0.0,3.3143939393939394,2,132.0,264.0
305,fall camp practice #1,2017-07-31,wide receiver,wr,offensive,0.5681818181818182,0.5681818181818182,0.0,0.0,1.1363636363636365,2,110.0,220.0
315,fall camp practice #10,2017-08-11,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,126.0,252.0
334,fall camp practice #12,2017-08-13,wide receiver,wr,offensive,0.0,0.0,0.49603174603174605,0.0,0.49603174603174605,2,126.0,252.0
350,fall camp practice #14,2017-08-16,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,1,126.0,126.0
360,fall camp practice #2,2017-08-01,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,107.0,214.0
370,fall camp practice #3,2017-08-02,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,126.0,252.0
388,fall camp practice #5,2017-08-04,wide receiver,wr,offensive,0.0,0.49603174603174605,0.0,0.0,0.49603174603174605,2,126.0,252.0
398,fall camp practice #6,2017-08-06,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,126.0,252.0
408,fall camp practice #7,2017-08-07,wide receiver,wr,offensive,0.0,0.49603174603174605,0.0,0.0,0.49603174603174605,2,126.0,252.0
417,fall camp practice #8,2017-08-08,wide receiver,wr,offensive,0.0,0.49603174603174605,0.0,0.0,0.49603174603174605,2,126.0,252.0
434,fall camp scrimmage #2,2017-08-18,wide receiver,wr,offensive,0.0,0.0,0.0,0.0,0.0,2,133.0,266.0
