,activity,before_break,date,day,h1,h2,h3,h4,h5,player,practice,type
4361,pre,True,2017-07-31 19:05:00,Monday,1.0,0.0,0.0,0.0,0.0,linebacker,fall camp practice #1,camp
4360,pre,True,2017-07-31 19:05:00,Monday,1.0,0.0,1.0,0.0,0.0,off guard,fall camp practice #1,camp
4349,post,False,2017-07-31 20:50:00,Monday,1.0,0.0,0.0,0.0,0.0,def tackle,fall camp practice #1,camp
4323,pre,True,2017-08-02 09:35:00,Wednesday,1.0,0.0,0.0,0.0,0.0,tight end,fall camp practice #3,camp
4324,pre,True,2017-08-02 09:35:00,Wednesday,1.0,0.0,0.0,0.0,0.0,def end,fall camp practice #3,camp
4250,pre,True,2017-08-03 09:35:00,Thursday,0.0,1.0,1.0,0.0,0.0,tight end,fall camp practice #4,camp
4157,pre,True,2017-08-04 09:35:00,Friday,1.0,0.0,0.0,0.0,0.0,off tackle,fall camp practice #5,camp
4158,pre,True,2017-08-04 09:35:00,Friday,0.0,1.0,0.0,0.0,0.0,tight end,fall camp practice #5,camp
4090,pre,True,2017-08-06 11:45:00,Sunday,0.0,0.0,1.0,0.0,0.0,def end,fall camp practice #6,camp
4089,pre,True,2017-08-06 11:45:00,Sunday,1.0,0.0,0.0,0.0,0.0,off tackle,fall camp practice #6,camp
4013,pre,True,2017-08-07 09:35:00,Monday,1.0,0.0,0.0,0.0,0.0,off tackle,fall camp practice #7,camp
4012,pre,True,2017-08-07 09:35:00,Monday,2.0,0.0,0.0,0.0,0.0,tight end,fall camp practice #7,camp
3850,post,False,2017-08-09 11:10:00,Wednesday,1.0,2.0,0.0,1.0,0.0,tight end,fall camp scrimmage 1,camp
3667,pre,True,2017-08-16 09:35:00,Wednesday,0.0,1.0,1.0,0.0,0.0,running back,fall camp practice #14,camp
3666,pre,True,2017-08-16 09:35:00,Wednesday,2.0,0.0,0.0,0.0,0.0,tight end,fall camp practice #14,camp
3498,post,False,2017-08-20 13:35:00,Sunday,2.0,0.0,0.0,0.0,0.0,tight end,Oklahoma State #1,tues
3497,pre,True,2017-08-22 15:35:00,Tuesday,3.0,0.0,0.0,0.0,0.0,tight end,Oklahoma State #2,tues
3496,pre,True,2017-08-22 15:35:00,Tuesday,1.0,0.0,0.0,0.0,0.0,off guard,Oklahoma State #2,tues
3495,pre,True,2017-08-22 15:40:00,Tuesday,2.0,0.0,0.0,0.0,0.0,tight end,Oklahoma State #2,tues
3452,post,False,2017-08-22 17:30:00,Tuesday,1.0,0.0,0.0,0.0,0.0,off guard,Oklahoma State #2,tues
3453,post,False,2017-08-22 17:30:00,Tuesday,1.0,0.0,0.0,0.0,0.0,tight end,Oklahoma State #2,tues
3451,pre,True,2017-08-23 15:40:00,Wednesday,6.0,1.0,0.0,0.0,0.0,off guard,Oklahoma State #3,wed
3450,pre,True,2017-08-23 15:40:00,Wednesday,1.0,0.0,0.0,0.0,0.0,tight end,Oklahoma State #3,wed
3367,pre,True,2017-08-25 15:40:00,Friday,1.0,0.0,0.0,0.0,0.0,off tackle,Oklahoma State #5,tues
3333,pre,True,2017-08-26 10:35:00,Saturday,2.0,0.0,0.0,0.0,0.0,off tackle,Oklahoma State #6,wed
3332,pre,True,2017-08-26 10:40:00,Saturday,1.0,0.0,0.0,0.0,0.0,off tackle,Oklahoma State #6,wed
3276,pre,True,2017-08-29 15:35:00,Tuesday,2.0,0.0,1.0,0.0,0.0,def end,Oklahoma State #8,thurs
3275,pre,True,2017-08-29 15:35:00,Tuesday,10.0,10.0,0.0,0.0,0.0,def tackle,Oklahoma State #8,thurs
3271,pre,True,2017-08-29 15:40:00,Tuesday,1.0,1.0,0.0,0.0,0.0,def end,Oklahoma State #8,thurs
3269,pre,True,2017-08-29 15:40:00,Tuesday,1.0,1.0,0.0,0.0,0.0,cornerback,Oklahoma State #8,thurs
3273,pre,True,2017-08-29 15:40:00,Tuesday,2.0,0.0,0.0,0.0,0.0,off guard,Oklahoma State #8,thurs
3272,pre,True,2017-08-29 15:40:00,Tuesday,0.0,1.0,0.0,0.0,0.0,off guard,Oklahoma State #8,thurs
3270,pre,True,2017-08-29 15:40:00,Tuesday,1.0,0.0,0.0,0.0,0.0,off tackle,Oklahoma State #8,thurs
3274,pre,True,2017-08-29 15:40:00,Tuesday,1.0,1.0,0.0,0.0,0.0,safety,Oklahoma State #8,thurs
3197,pre,True,2017-08-31 17:50:00,Thursday,1.0,0.0,0.0,0.0,0.0,wide receiver,Oklahoma State Game,game
3198,pre,True,2017-08-31 17:50:00,Thursday,0.0,1.0,0.0,0.0,0.0,running back,Oklahoma State Game,game
3196,pre,True,2017-08-31 17:55:00,Thursday,0.0,1.0,0.0,0.0,0.0,wide receiver,Oklahoma State Game,game
3194,pre,True,2017-08-31 18:00:00,Thursday,1.0,0.0,0.0,0.0,0.0,linebacker,Oklahoma State Game,game
3193,pre,True,2017-08-31 18:00:00,Thursday,2.0,0.0,0.0,0.0,0.0,def end,Oklahoma State Game,game
3192,pre,True,2017-08-31 18:00:00,Thursday,0.0,1.0,0.0,0.0,0.0,linebacker,Oklahoma State Game,game
3191,pre,True,2017-08-31 18:00:00,Thursday,1.0,0.0,0.0,0.0,0.0,off guard,Oklahoma State Game,game
3195,pre,True,2017-08-31 18:00:00,Thursday,1.0,0.0,0.0,0.0,0.0,def tackle,Oklahoma State Game,game
3190,pre,True,2017-08-31 18:05:00,Thursday,1.0,0.0,0.0,0.0,0.0,off guard,Oklahoma State Game,game
3189,pre,True,2017-08-31 18:05:00,Thursday,1.0,2.0,0.0,1.0,1.0,linebacker,Oklahoma State Game,game
