,activity,before_break,date,event,h2,h3,h4,h5,player,type
4428,pre,True,2017-07-31 19:05:00,fall camp practice #1,0,0,0,0,linebacker,camp
4427,pre,True,2017-07-31 19:05:00,fall camp practice #1,0,1,0,0,off guard,camp
4416,post,False,2017-07-31 20:50:00,fall camp practice #1,0,0,0,0,def tackle,camp
4390,pre,True,2017-08-02 09:35:00,fall camp practice #3,0,0,0,0,tight end,camp
4391,pre,True,2017-08-02 09:35:00,fall camp practice #3,0,0,0,0,def end,camp
4317,pre,True,2017-08-03 09:35:00,fall camp practice #4,1,1,0,0,tight end,camp
4225,pre,True,2017-08-04 09:35:00,fall camp practice #5,1,0,0,0,tight end,camp
4224,pre,True,2017-08-04 09:35:00,fall camp practice #5,0,0,0,0,off tackle,camp
4157,pre,True,2017-08-06 11:45:00,fall camp practice #6,0,1,0,0,def end,camp
4156,pre,True,2017-08-06 11:45:00,fall camp practice #6,0,0,0,0,off tackle,camp
4080,pre,True,2017-08-07 09:35:00,fall camp practice #7,0,0,0,0,off tackle,camp
4079,pre,True,2017-08-07 09:35:00,fall camp practice #7,0,0,0,0,tight end,camp
3917,post,False,2017-08-09 11:10:00,fall camp scrimmage 1,2,0,1,0,tight end,camp
3916,pre,True,2017-08-11 14:05:00,fall camp practice #10,0,0,0,0,off tackle,camp
3915,pre,True,2017-08-11 14:05:00,fall camp practice #10,0,1,0,0,tight end,camp
3914,pre,True,2017-08-11 14:05:00,fall camp practice #10,1,0,0,0,running back,camp
3913,pre,True,2017-08-11 14:15:00,fall camp practice #10,1,0,0,0,linebacker,camp
3912,pre,True,2017-08-11 14:15:00,fall camp practice #10,0,0,0,0,linebacker,camp
3903,pre,True,2017-08-11 14:20:00,fall camp practice #10,0,1,0,0,linebacker,camp
3904,pre,True,2017-08-11 14:20:00,fall camp practice #10,1,0,0,0,def tackle,camp
3908,pre,True,2017-08-11 14:20:00,fall camp practice #10,0,0,1,1,def end,camp
3907,pre,True,2017-08-11 14:20:00,fall camp practice #10,0,0,0,0,cornerback,camp
3662,pre,True,2017-08-16 09:35:00,fall camp practice #14,1,1,0,0,running back,camp
3661,pre,True,2017-08-16 09:35:00,fall camp practice #14,0,0,0,0,tight end,camp
3493,post,False,2017-08-20 13:35:00,Oklahoma State #1,0,0,0,0,tight end,tues
3491,pre,True,2017-08-22 15:35:00,Oklahoma State #2,0,0,0,0,off guard,tues
3492,pre,True,2017-08-22 15:35:00,Oklahoma State #2,0,0,0,0,tight end,tues
3490,pre,True,2017-08-22 15:40:00,Oklahoma State #2,0,0,0,0,tight end,tues
3448,post,False,2017-08-22 17:30:00,Oklahoma State #2,0,0,0,0,tight end,tues
3447,post,False,2017-08-22 17:30:00,Oklahoma State #2,0,0,0,0,off guard,tues
